start arm=B9 device=cuda n_classes=3 y_counts={0: 91800, 1: 91800, 2: 91800} pf_protocol_version=3 no_rest=False
[B9] §3.2.1 future-perturb ratio=125.733
fold1 ep 010  tr=1.6850  val_AccPaper=0.5752  val_BalAccMaj=0.5811  win_BalAcc=0.5730  win_f1_macro=0.5706
fold1 ep 011  tr=1.6689  val_AccPaper=0.5848  val_BalAccMaj=0.5904  win_BalAcc=0.5815  win_f1_macro=0.5764
fold1 ep 012  tr=1.6667  val_AccPaper=0.5859  val_BalAccMaj=0.5926  win_BalAcc=0.5796  win_f1_macro=0.5794
fold1 ep 013  tr=1.6616  val_AccPaper=0.5956  val_BalAccMaj=0.6026  win_BalAcc=0.5892  win_f1_macro=0.5896
fold1 ep 014  tr=1.6604  val_AccPaper=0.5815  val_BalAccMaj=0.5881  win_BalAcc=0.5782  win_f1_macro=0.5742
fold1 ep 015  tr=1.6465  val_AccPaper=0.5826  val_BalAccMaj=0.5904  win_BalAcc=0.5810  win_f1_macro=0.5774
fold1 ep 016  tr=1.6405  val_AccPaper=0.5804  val_BalAccMaj=0.5863  win_BalAcc=0.5771  win_f1_macro=0.5765
fold1 ep 017  tr=1.6358  val_AccPaper=0.5900  val_BalAccMaj=0.5974  win_BalAcc=0.5853  win_f1_macro=0.5846
fold1 ep 018  tr=1.6344  val_AccPaper=0.5848  val_BalAccMaj=0.5915  win_BalAcc=0.5807  win_f1_macro=0.5798
fold1 ep 019  tr=1.6249  val_AccPaper=0.5811  val_BalAccMaj=0.5881  win_BalAcc=0.5765  win_f1_macro=0.5722
fold1 ep 020  tr=1.6257  val_AccPaper=0.5822  val_BalAccMaj=0.5911  win_BalAcc=0.5737  win_f1_macro=0.5690
fold1 ep 021  tr=1.6191  val_AccPaper=0.5819  val_BalAccMaj=0.5885  win_BalAcc=0.5772  win_f1_macro=0.5734
fold1 ep 022  tr=1.6128  val_AccPaper=0.5893  val_BalAccMaj=0.5959  win_BalAcc=0.5825  win_f1_macro=0.5795
fold1 ep 023  tr=1.6045  val_AccPaper=0.5841  val_BalAccMaj=0.5889  win_BalAcc=0.5810  win_f1_macro=0.5764
fold1 ep 024  tr=1.6072  val_AccPaper=0.5800  val_BalAccMaj=0.5881  win_BalAcc=0.5766  win_f1_macro=0.5746
fold1 ep 025  tr=1.5997  val_AccPaper=0.5863  val_BalAccMaj=0.5915  win_BalAcc=0.5817  win_f1_macro=0.5784
fold1 ep 026  tr=1.5990  val_AccPaper=0.5767  val_BalAccMaj=0.5874  win_BalAcc=0.5777  win_f1_macro=0.5723
fold1 ep 027  tr=1.5917  val_AccPaper=0.5841  val_BalAccMaj=0.5904  win_BalAcc=0.5793  win_f1_macro=0.5783
fold1 ep 028  tr=1.5888  val_AccPaper=0.5815  val_BalAccMaj=0.5889  win_BalAcc=0.5767  win_f1_macro=0.5744
fold1 ep 029  tr=1.5789  val_AccPaper=0.5870  val_BalAccMaj=0.5944  win_BalAcc=0.5846  win_f1_macro=0.5823
fold1 ep 030  tr=1.5780  val_AccPaper=0.5715  val_BalAccMaj=0.5796  win_BalAcc=0.5747  win_f1_macro=0.5698
fold1 ep 031  tr=1.5725  val_AccPaper=0.5822  val_BalAccMaj=0.5919  win_BalAcc=0.5787  win_f1_macro=0.5743
fold1 ep 032  tr=1.5727  val_AccPaper=0.5878  val_BalAccMaj=0.5948  win_BalAcc=0.5853  win_f1_macro=0.5824
fold1 ep 033  tr=1.5727  val_AccPaper=0.5867  val_BalAccMaj=0.5926  win_BalAcc=0.5841  win_f1_macro=0.5798
fold1 early stop @ ep 33
fold2 ep 001  tr=2.1061  val_AccPaper=0.5219  val_BalAccMaj=0.5300  win_BalAcc=0.5237  win_f1_macro=0.5229
fold2 ep 002  tr=1.8065  val_AccPaper=0.5407  val_BalAccMaj=0.5467  win_BalAcc=0.5354  win_f1_macro=0.5321
fold2 ep 003  tr=1.7280  val_AccPaper=0.5385  val_BalAccMaj=0.5433  win_BalAcc=0.5312  win_f1_macro=0.5263
fold2 ep 004  tr=1.6908  val_AccPaper=0.5337  val_BalAccMaj=0.5363  win_BalAcc=0.5302  win_f1_macro=0.5270
fold2 ep 005  tr=1.6653  val_AccPaper=0.5359  val_BalAccMaj=0.5407  win_BalAcc=0.5336  win_f1_macro=0.5296
fold2 ep 006  tr=1.6509  val_AccPaper=0.5374  val_BalAccMaj=0.5430  win_BalAcc=0.5342  win_f1_macro=0.5319
fold2 ep 007  tr=1.6333  val_AccPaper=0.5348  val_BalAccMaj=0.5381  win_BalAcc=0.5326  win_f1_macro=0.5292
fold2 ep 008  tr=1.6198  val_AccPaper=0.5319  val_BalAccMaj=0.5374  win_BalAcc=0.5328  win_f1_macro=0.5295
fold2 ep 009  tr=1.6083  val_AccPaper=0.5319  val_BalAccMaj=0.5381  win_BalAcc=0.5301  win_f1_macro=0.5257
fold2 ep 010  tr=1.6028  val_AccPaper=0.5367  val_BalAccMaj=0.5441  win_BalAcc=0.5367  win_f1_macro=0.5342
fold2 ep 011  tr=1.5877  val_AccPaper=0.5407  val_BalAccMaj=0.5470  win_BalAcc=0.5390  win_f1_macro=0.5380
fold2 ep 012  tr=1.5808  val_AccPaper=0.5419  val_BalAccMaj=0.5470  win_BalAcc=0.5364  win_f1_macro=0.5328
fold2 ep 013  tr=1.5713  val_AccPaper=0.5400  val_BalAccMaj=0.5481  win_BalAcc=0.5388  win_f1_macro=0.5358
fold2 ep 014  tr=1.5733  val_AccPaper=0.5419  val_BalAccMaj=0.5467  win_BalAcc=0.5354  win_f1_macro=0.5327
fold2 ep 015  tr=1.5571  val_AccPaper=0.5367  val_BalAccMaj=0.5415  win_BalAcc=0.5332  win_f1_macro=0.5295
fold2 ep 016  tr=1.5558  val_AccPaper=0.5370  val_BalAccMaj=0.5437  win_BalAcc=0.5345  win_f1_macro=0.5322
fold2 ep 017  tr=1.5480  val_AccPaper=0.5370  val_BalAccMaj=0.5430  win_BalAcc=0.5326  win_f1_macro=0.5293
fold2 ep 018  tr=1.5459  val_AccPaper=0.5374  val_BalAccMaj=0.5452  win_BalAcc=0.5347  win_f1_macro=0.5332
fold2 ep 019  tr=1.5372  val_AccPaper=0.5337  val_BalAccMaj=0.5385  win_BalAcc=0.5338  win_f1_macro=0.5322
fold2 ep 020  tr=1.5344  val_AccPaper=0.5304  val_BalAccMaj=0.5370  win_BalAcc=0.5309  win_f1_macro=0.5273
fold2 ep 021  tr=1.5244  val_AccPaper=0.5300  val_BalAccMaj=0.5370  win_BalAcc=0.5277  win_f1_macro=0.5243
fold2 ep 022  tr=1.5213  val_AccPaper=0.5393  val_BalAccMaj=0.5437  win_BalAcc=0.5357  win_f1_macro=0.5331
fold2 ep 023  tr=1.5143  val_AccPaper=0.5400  val_BalAccMaj=0.5452  win_BalAcc=0.5368  win_f1_macro=0.5354
