lsl_time,C3,C4,CZ,CP3,CP4,CPZ,FC3,FC4
315887.46691448026,-632.8414306640625,-1198.6044921875,-1057.5252685546875,-1102.8570556640625,-1037.691162109375,-642.44873046875,-1232.5338134765625,-1444.18115234375
315887.4709144802,-632.6276245117188,-1199.0955810546875,-1058.044921875,-1103.359619140625,-1037.1590576171875,-641.3151245117188,-1233.397216796875,-1444.3795166015625
315887.47491448023,-642.8529052734375,-1209.779541015625,-1069.2044677734375,-1114.112548828125,-1046.8209228515625,-650.2890014648438,-1244.6732177734375,-1454.8216552734375
315887.47891448025,-647.3903198242188,-1213.9462890625,-1073.4925537109375,-1118.2667236328125,-1051.4576416015625,-655.195068359375,-1248.7598876953125,-1459.13818359375
315887.48291448026,-642.0790405273438,-1208.053466796875,-1067.408447265625,-1112.3189697265625,-1046.58154296875,-650.9249877929688,-1242.470947265625,-1453.5181884765625
315887.4869144802,-632.7874755859375,-1198.637939453125,-1057.537353515625,-1102.7786865234375,-1037.756103515625,-642.5001831054688,-1232.59033203125,-1444.2086181640625
315887.49091448024,-632.7025146484375,-1199.326904296875,-1058.2471923828125,-1103.4385986328125,-1037.432861328125,-641.488037109375,-1233.623046875,-1444.6068115234375
315887.49491448025,-643.3695068359375,-1210.6573486328125,-1070.040283203125,-1114.8079833984375,-1047.7451171875,-650.91650390625,-1245.5159912109375,-1455.75537109375
315887.49891448027,-648.0018310546875,-1215.05029296875,-1074.5391845703125,-1119.1734619140625,-1052.572265625,-655.8984985351562,-1249.8284912109375,-1460.4041748046875
315887.5029144802,-642.6146240234375,-1209.0626220703125,-1068.37060546875,-1113.1129150390625,-1047.560302734375,-651.4970092773438,-1243.4700927734375,-1454.7216796875
315887.50691448024,-633.1741943359375,-1199.44384765625,-1058.3182373046875,-1103.3411865234375,-1038.49609375,-642.81396484375,-1233.4237060546875,-1445.230224609375
315887.51091448026,-632.556640625,-1199.542724609375,-1058.4180908203125,-1103.333740234375,-1037.5087890625,-641.1582641601562,-1233.8792724609375,-1445.0814208984375
315887.51491448027,-643.0562744140625,-1210.4410400390625,-1069.8125,-1114.35986328125,-1047.390380859375,-650.3494262695312,-1245.3751220703125,-1455.7613525390625
315887.5189144802,-648.0637817382812,-1215.00634765625,-1074.5162353515625,-1118.982177734375,-1052.4638671875,-655.7036743164062,-1249.8565673828125,-1460.466552734375
