start arm=B5a device=cuda n_classes=3 y_counts={0: 91800, 1: 91800, 2: 91800} pf_protocol_version=3 no_rest=False
[B5a] §3.2.1 future-perturb ratio=125.573
fold1 ep 001  tr=1.1467  val_AccPaper=0.5304  val_BalAccMaj=0.5348  win_BalAcc=0.5315  win_f1_macro=0.5208
fold1 ep 002  tr=1.0323  val_AccPaper=0.5378  val_BalAccMaj=0.5407  win_BalAcc=0.5362  win_f1_macro=0.5277
fold1 ep 003  tr=0.9857  val_AccPaper=0.5615  val_BalAccMaj=0.5674  win_BalAcc=0.5586  win_f1_macro=0.5560
fold1 ep 004  tr=0.9676  val_AccPaper=0.5585  val_BalAccMaj=0.5637  win_BalAcc=0.5567  win_f1_macro=0.5535
fold1 ep 005  tr=0.9524  val_AccPaper=0.5630  val_BalAccMaj=0.5689  win_BalAcc=0.5608  win_f1_macro=0.5582
fold1 ep 006  tr=0.9459  val_AccPaper=0.5589  val_BalAccMaj=0.5622  win_BalAcc=0.5535  win_f1_macro=0.5503
fold1 ep 007  tr=0.9360  val_AccPaper=0.5615  val_BalAccMaj=0.5637  win_BalAcc=0.5587  win_f1_macro=0.5556
fold1 ep 008  tr=0.9277  val_AccPaper=0.5641  val_BalAccMaj=0.5704  win_BalAcc=0.5632  win_f1_macro=0.5603
fold1 ep 009  tr=0.9233  val_AccPaper=0.5707  val_BalAccMaj=0.5759  win_BalAcc=0.5648  win_f1_macro=0.5640
fold1 ep 010  tr=0.9205  val_AccPaper=0.5756  val_BalAccMaj=0.5848  win_BalAcc=0.5736  win_f1_macro=0.5732
fold1 ep 011  tr=0.9141  val_AccPaper=0.5626  val_BalAccMaj=0.5715  win_BalAcc=0.5652  win_f1_macro=0.5640
fold1 ep 012  tr=0.9127  val_AccPaper=0.5707  val_BalAccMaj=0.5752  win_BalAcc=0.5607  win_f1_macro=0.5594
fold1 ep 013  tr=0.9102  val_AccPaper=0.5604  val_BalAccMaj=0.5648  win_BalAcc=0.5599  win_f1_macro=0.5583
fold1 ep 014  tr=0.9058  val_AccPaper=0.5556  val_BalAccMaj=0.5630  win_BalAcc=0.5546  win_f1_macro=0.5509
fold1 ep 015  tr=0.9032  val_AccPaper=0.5496  val_BalAccMaj=0.5581  win_BalAcc=0.5521  win_f1_macro=0.5491
fold1 ep 016  tr=0.8997  val_AccPaper=0.5611  val_BalAccMaj=0.5667  win_BalAcc=0.5623  win_f1_macro=0.5590
fold1 ep 017  tr=0.8975  val_AccPaper=0.5785  val_BalAccMaj=0.5819  win_BalAcc=0.5716  win_f1_macro=0.5713
fold1 ep 018  tr=0.8933  val_AccPaper=0.5670  val_BalAccMaj=0.5715  win_BalAcc=0.5632  win_f1_macro=0.5599
fold1 ep 019  tr=0.8924  val_AccPaper=0.5719  val_BalAccMaj=0.5796  win_BalAcc=0.5685  win_f1_macro=0.5677
fold1 ep 020  tr=0.8881  val_AccPaper=0.5600  val_BalAccMaj=0.5678  win_BalAcc=0.5596  win_f1_macro=0.5576
fold1 ep 021  tr=0.8884  val_AccPaper=0.5715  val_BalAccMaj=0.5770  win_BalAcc=0.5675  win_f1_macro=0.5667
fold1 ep 022  tr=0.8827  val_AccPaper=0.5659  val_BalAccMaj=0.5719  win_BalAcc=0.5674  win_f1_macro=0.5664
fold1 ep 023  tr=0.8815  val_AccPaper=0.5604  val_BalAccMaj=0.5659  win_BalAcc=0.5650  win_f1_macro=0.5643
fold1 ep 024  tr=0.8778  val_AccPaper=0.5600  val_BalAccMaj=0.5670  win_BalAcc=0.5642  win_f1_macro=0.5627
fold1 ep 025  tr=0.8791  val_AccPaper=0.5563  val_BalAccMaj=0.5600  win_BalAcc=0.5578  win_f1_macro=0.5556
fold1 ep 026  tr=0.8761  val_AccPaper=0.5641  val_BalAccMaj=0.5711  win_BalAcc=0.5634  win_f1_macro=0.5630
