start arm=C2a device=cuda n_classes=3 y_counts={0: 91800, 1: 91800, 2: 91800} pf_protocol_version=3 no_rest=False
[C2a] §3.2.1 future-perturb ratio=121.565
fold1 ep 009  tr=1.8042  val_AccPaper=0.5848  val_BalAccMaj=0.5922  win_BalAcc=0.5797  win_f1_macro=0.5791
fold1 ep 010  tr=1.7861  val_AccPaper=0.5800  val_BalAccMaj=0.5874  win_BalAcc=0.5764  win_f1_macro=0.5733
fold1 ep 011  tr=1.7795  val_AccPaper=0.5726  val_BalAccMaj=0.5811  win_BalAcc=0.5692  win_f1_macro=0.5682
fold1 ep 012  tr=1.7664  val_AccPaper=0.5722  val_BalAccMaj=0.5841  win_BalAcc=0.5694  win_f1_macro=0.5692
fold1 ep 013  tr=1.7636  val_AccPaper=0.5704  val_BalAccMaj=0.5770  win_BalAcc=0.5685  win_f1_macro=0.5682
fold1 ep 014  tr=1.7545  val_AccPaper=0.5752  val_BalAccMaj=0.5815  win_BalAcc=0.5712  win_f1_macro=0.5697
fold1 ep 015  tr=1.7502  val_AccPaper=0.5737  val_BalAccMaj=0.5800  win_BalAcc=0.5667  win_f1_macro=0.5655
fold1 ep 016  tr=1.7423  val_AccPaper=0.5719  val_BalAccMaj=0.5774  win_BalAcc=0.5694  win_f1_macro=0.5687
fold1 ep 017  tr=1.7424  val_AccPaper=0.5833  val_BalAccMaj=0.5896  win_BalAcc=0.5809  win_f1_macro=0.5810
fold1 ep 018  tr=1.7334  val_AccPaper=0.5559  val_BalAccMaj=0.5607  win_BalAcc=0.5542  win_f1_macro=0.5519
fold1 ep 019  tr=1.7268  val_AccPaper=0.5722  val_BalAccMaj=0.5781  win_BalAcc=0.5656  win_f1_macro=0.5656
fold1 ep 020  tr=1.7207  val_AccPaper=0.5637  val_BalAccMaj=0.5711  win_BalAcc=0.5659  win_f1_macro=0.5645
fold1 ep 021  tr=1.7113  val_AccPaper=0.5707  val_BalAccMaj=0.5774  win_BalAcc=0.5663  win_f1_macro=0.5652
fold1 ep 022  tr=1.7090  val_AccPaper=0.5752  val_BalAccMaj=0.5815  win_BalAcc=0.5706  win_f1_macro=0.5692
fold1 ep 023  tr=1.7016  val_AccPaper=0.5741  val_BalAccMaj=0.5807  win_BalAcc=0.5711  win_f1_macro=0.5701
fold1 ep 024  tr=1.6956  val_AccPaper=0.5578  val_BalAccMaj=0.5648  win_BalAcc=0.5588  win_f1_macro=0.5560
fold1 ep 025  tr=1.6993  val_AccPaper=0.5741  val_BalAccMaj=0.5833  win_BalAcc=0.5689  win_f1_macro=0.5677
fold1 ep 026  tr=1.6903  val_AccPaper=0.5678  val_BalAccMaj=0.5741  win_BalAcc=0.5653  win_f1_macro=0.5643
fold1 ep 027  tr=1.6849  val_AccPaper=0.5726  val_BalAccMaj=0.5796  win_BalAcc=0.5680  win_f1_macro=0.5678
fold1 ep 028  tr=1.6873  val_AccPaper=0.5711  val_BalAccMaj=0.5770  win_BalAcc=0.5630  win_f1_macro=0.5616
fold1 ep 029  tr=1.6772  val_AccPaper=0.5744  val_BalAccMaj=0.5796  win_BalAcc=0.5655  win_f1_macro=0.5626
fold1 early stop @ ep 29
fold2 ep 001  tr=2.2682  val_AccPaper=0.5126  val_BalAccMaj=0.5167  win_BalAcc=0.5063  win_f1_macro=0.5002
fold2 ep 002  tr=1.9285  val_AccPaper=0.5204  val_BalAccMaj=0.5267  win_BalAcc=0.5166  win_f1_macro=0.5158
fold2 ep 003  tr=1.8402  val_AccPaper=0.5374  val_BalAccMaj=0.5448  win_BalAcc=0.5322  win_f1_macro=0.5335
fold2 ep 004  tr=1.7976  val_AccPaper=0.5307  val_BalAccMaj=0.5407  win_BalAcc=0.5293  win_f1_macro=0.5292
fold2 ep 005  tr=1.7651  val_AccPaper=0.5344  val_BalAccMaj=0.5430  win_BalAcc=0.5305  win_f1_macro=0.5293
fold2 ep 006  tr=1.7457  val_AccPaper=0.5341  val_BalAccMaj=0.5411  win_BalAcc=0.5305  win_f1_macro=0.5278
fold2 ep 007  tr=1.7316  val_AccPaper=0.5333  val_BalAccMaj=0.5407  win_BalAcc=0.5314  win_f1_macro=0.5297
fold2 ep 008  tr=1.7258  val_AccPaper=0.5407  val_BalAccMaj=0.5463  win_BalAcc=0.5335  win_f1_macro=0.5324
fold2 ep 009  tr=1.7078  val_AccPaper=0.5326  val_BalAccMaj=0.5381  win_BalAcc=0.5300  win_f1_macro=0.5276
fold2 ep 010  tr=1.6937  val_AccPaper=0.5378  val_BalAccMaj=0.5430  win_BalAcc=0.5325  win_f1_macro=0.5310
fold2 ep 011  tr=1.6876  val_AccPaper=0.5415  val_BalAccMaj=0.5489  win_BalAcc=0.5352  win_f1_macro=0.5331
fold2 ep 012  tr=1.6786  val_AccPaper=0.5307  val_BalAccMaj=0.5367  win_BalAcc=0.5257  win_f1_macro=0.5238
fold2 ep 013  tr=1.6701  val_AccPaper=0.5270  val_BalAccMaj=0.5341  win_BalAcc=0.5216  win_f1_macro=0.5171
fold2 ep 014  tr=1.6691  val_AccPaper=0.5274  val_BalAccMaj=0.5311  win_BalAcc=0.5206  win_f1_macro=0.5172
fold2 ep 015  tr=1.6524  val_AccPaper=0.5307  val_BalAccMaj=0.5352  win_BalAcc=0.5247  win_f1_macro=0.5199
fold2 ep 016  tr=1.6448  val_AccPaper=0.5326  val_BalAccMaj=0.5374  win_BalAcc=0.5258  win_f1_macro=0.5222
fold2 ep 017  tr=1.6327  val_AccPaper=0.5337  val_BalAccMaj=0.5396  win_BalAcc=0.5219  win_f1_macro=0.5186
fold2 ep 018  tr=1.6301  val_AccPaper=0.5174  val_BalAccMaj=0.5215  win_BalAcc=0.5157  win_f1_macro=0.5084
fold2 ep 019  tr=1.6226  val_AccPaper=0.5293  val_BalAccMaj=0.5337  win_BalAcc=0.5222  win_f1_macro=0.5177
fold2 ep 020  tr=1.6212  val_AccPaper=0.5222  val_BalAccMaj=0.5278  win_BalAcc=0.5183  win_f1_macro=0.5118
fold2 ep 021  tr=1.6148  val_AccPaper=0.5215  val_BalAccMaj=0.5259  win_BalAcc=0.5171  win_f1_macro=0.5121
fold2 ep 022  tr=1.6141  val_AccPaper=0.5211  val_BalAccMaj=0.5259  win_BalAcc=0.5180  win_f1_macro=0.5122
fold2 ep 023  tr=1.6060  val_AccPaper=0.5219  val_BalAccMaj=0.5278  win_BalAcc=0.5157  win_f1_macro=0.5113
fold2 ep 024  tr=1.6003  val_AccPaper=0.5215  val_BalAccMaj=0.5270  win_BalAcc=0.5188  win_f1_macro=0.5128
fold2 ep 025  tr=1.5949  val_AccPaper=0.5293  val_BalAccMaj=0.5359  win_BalAcc=0.5225  win_f1_macro=0.5175
fold2 ep 026  tr=1.5907  val_AccPaper=0.5244  val_BalAccMaj=0.5300  win_BalAcc=0.5231  win_f1_macro=0.5187
fold2 ep 027  tr=1.5810  val_AccPaper=0.5167  val_BalAccMaj=0.5211  win_BalAcc=0.5110  win_f1_macro=0.5054
fold2 ep 028  tr=1.5864  val_AccPaper=0.5178  val_BalAccMaj=0.5226  win_BalAcc=0.5165  win_f1_macro=0.5107
fold2 ep 029  tr=1.5860  val_AccPaper=0.5144  val_BalAccMaj=0.5193  win_BalAcc=0.5136  win_f1_macro=0.5080
fold2 ep 030  tr=1.5794  val_AccPaper=0.5130  val_BalAccMaj=0.5178  win_BalAcc=0.5125  win_f1_macro=0.5050
