start arm=T1 device=cuda n_classes=3 y_counts={0: 91800, 1: 91800, 2: 91800} pf_protocol_version=3 no_rest=False
[T1] §3.2.1 future-perturb ratio=112.016
fold0 ep 044  tr=2.3938  val_AccPaper=0.5537  val_BalAccMaj=0.5589  win_BalAcc=0.5518  win_f1_macro=0.5523
fold0 ep 045  tr=2.3866  val_AccPaper=0.5541  val_BalAccMaj=0.5600  win_BalAcc=0.5521  win_f1_macro=0.5529
fold0 ep 046  tr=2.3895  val_AccPaper=0.5604  val_BalAccMaj=0.5670  win_BalAcc=0.5551  win_f1_macro=0.5561
fold0 ep 047  tr=2.3783  val_AccPaper=0.5530  val_BalAccMaj=0.5604  win_BalAcc=0.5480  win_f1_macro=0.5483
fold0 ep 048  tr=2.3781  val_AccPaper=0.5519  val_BalAccMaj=0.5600  win_BalAcc=0.5490  win_f1_macro=0.5498
fold0 ep 049  tr=2.3751  val_AccPaper=0.5552  val_BalAccMaj=0.5596  win_BalAcc=0.5513  win_f1_macro=0.5518
fold0 early stop @ ep 49
fold1 ep 001  tr=3.4381  val_AccPaper=0.5359  val_BalAccMaj=0.5411  win_BalAcc=0.5327  win_f1_macro=0.5208
fold1 ep 002  tr=2.9721  val_AccPaper=0.5452  val_BalAccMaj=0.5507  win_BalAcc=0.5443  win_f1_macro=0.5390
fold1 ep 003  tr=2.8155  val_AccPaper=0.5300  val_BalAccMaj=0.5356  win_BalAcc=0.5287  win_f1_macro=0.5168
fold1 ep 004  tr=2.7473  val_AccPaper=0.5589  val_BalAccMaj=0.5644  win_BalAcc=0.5512  win_f1_macro=0.5478
fold1 ep 005  tr=2.6927  val_AccPaper=0.5611  val_BalAccMaj=0.5656  win_BalAcc=0.5533  win_f1_macro=0.5495
fold1 ep 006  tr=2.6748  val_AccPaper=0.5596  val_BalAccMaj=0.5644  win_BalAcc=0.5546  win_f1_macro=0.5510
