start scheme21 arm=F_mi_080 n_times=800 t0_max=1.2 two_stage=None inwin=None
fold2 ep 006  tr=0.9960  val_AccPaper=0.5278  val_BalAccMaj=0.5281
fold2 ep 007  tr=0.9807  val_AccPaper=0.5374  val_BalAccMaj=0.5381
fold2 ep 008  tr=0.9745  val_AccPaper=0.5341  val_BalAccMaj=0.5344
fold2 ep 009  tr=0.9640  val_AccPaper=0.5359  val_BalAccMaj=0.5374
fold2 ep 010  tr=0.9573  val_AccPaper=0.5307  val_BalAccMaj=0.5315
fold2 ep 011  tr=0.9526  val_AccPaper=0.5300  val_BalAccMaj=0.5319
fold2 ep 012  tr=0.9466  val_AccPaper=0.5256  val_BalAccMaj=0.5263
fold2 ep 013  tr=0.9476  val_AccPaper=0.5263  val_BalAccMaj=0.5289
fold2 ep 014  tr=0.9425  val_AccPaper=0.5259  val_BalAccMaj=0.5270
fold2 ep 015  tr=0.9345  val_AccPaper=0.5230  val_BalAccMaj=0.5241
fold2 ep 016  tr=0.9339  val_AccPaper=0.5319  val_BalAccMaj=0.5341
fold2 ep 017  tr=0.9322  val_AccPaper=0.5300  val_BalAccMaj=0.5311
fold2 ep 018  tr=0.9282  val_AccPaper=0.5152  val_BalAccMaj=0.5170
fold2 ep 019  tr=0.9235  val_AccPaper=0.5293  val_BalAccMaj=0.5304
fold2 ep 020  tr=0.9213  val_AccPaper=0.5344  val_BalAccMaj=0.5359
fold2 ep 021  tr=0.9208  val_AccPaper=0.5274  val_BalAccMaj=0.5293
fold2 ep 022  tr=0.9183  val_AccPaper=0.5300  val_BalAccMaj=0.5315
fold2 ep 023  tr=0.9131  val_AccPaper=0.5296  val_BalAccMaj=0.5322
fold2 ep 024  tr=0.9177  val_AccPaper=0.5263  val_BalAccMaj=0.5278
fold2 ep 025  tr=0.9097  val_AccPaper=0.5396  val_BalAccMaj=0.5415
fold2 ep 026  tr=0.9072  val_AccPaper=0.5326  val_BalAccMaj=0.5341
fold2 ep 027  tr=0.9065  val_AccPaper=0.5281  val_BalAccMaj=0.5300
fold2 ep 028  tr=0.9056  val_AccPaper=0.5411  val_BalAccMaj=0.5430
fold2 ep 029  tr=0.9016  val_AccPaper=0.5374  val_BalAccMaj=0.5389
fold2 ep 030  tr=0.8970  val_AccPaper=0.5219  val_BalAccMaj=0.5263
fold2 ep 031  tr=0.8991  val_AccPaper=0.5367  val_BalAccMaj=0.5393
fold2 ep 032  tr=0.8976  val_AccPaper=0.5252  val_BalAccMaj=0.5278
fold2 ep 033  tr=0.9007  val_AccPaper=0.5370  val_BalAccMaj=0.5393
fold2 ep 034  tr=0.8871  val_AccPaper=0.5344  val_BalAccMaj=0.5356
fold2 ep 035  tr=0.8890  val_AccPaper=0.5278  val_BalAccMaj=0.5296
fold2 ep 036  tr=0.8894  val_AccPaper=0.5422  val_BalAccMaj=0.5448
fold2 ep 037  tr=0.8905  val_AccPaper=0.5359  val_BalAccMaj=0.5378
fold2 ep 038  tr=0.8819  val_AccPaper=0.5393  val_BalAccMaj=0.5404
fold2 ep 039  tr=0.8791  val_AccPaper=0.5344  val_BalAccMaj=0.5359
fold2 ep 040  tr=0.8809  val_AccPaper=0.5411  val_BalAccMaj=0.5415
fold2 ep 041  tr=0.8770  val_AccPaper=0.5344  val_BalAccMaj=0.5359
fold2 ep 042  tr=0.8790  val_AccPaper=0.5293  val_BalAccMaj=0.5311
fold2 ep 043  tr=0.8785  val_AccPaper=0.5393  val_BalAccMaj=0.5407
