start arm=P0 device=cuda n_classes=3
[P0] §3.2.1 future-perturb ratio=147.244
fold0 ep 001  tr=0.9668  val_AccPaper=0.5667  val_BalAccMaj=0.3811  win_BalAcc=0.3710  win_f1_macro=0.3920
fold0 ep 002  tr=0.7192  val_AccPaper=0.6200  val_BalAccMaj=0.4144  win_BalAcc=0.4098  win_f1_macro=0.4181
fold0 ep 003  tr=0.6616  val_AccPaper=0.6433  val_BalAccMaj=0.4300  win_BalAcc=0.4267  win_f1_macro=0.4305
fold0 ep 004  tr=0.6391  val_AccPaper=0.6533  val_BalAccMaj=0.4356  win_BalAcc=0.4333  win_f1_macro=0.4337
fold0 ep 005  tr=0.6285  val_AccPaper=0.6633  val_BalAccMaj=0.4426  win_BalAcc=0.4379  win_f1_macro=0.4378
fold0 ep 006  tr=0.6219  val_AccPaper=0.6617  val_BalAccMaj=0.4411  win_BalAcc=0.4377  win_f1_macro=0.4364
fold0 ep 007  tr=0.6185  val_AccPaper=0.6700  val_BalAccMaj=0.4467  win_BalAcc=0.4400  win_f1_macro=0.4399
fold0 ep 008  tr=0.6119  val_AccPaper=0.6678  val_BalAccMaj=0.4452  win_BalAcc=0.4390  win_f1_macro=0.4389
fold0 ep 009  tr=0.6052  val_AccPaper=0.6661  val_BalAccMaj=0.4441  win_BalAcc=0.4385  win_f1_macro=0.4380
fold0 ep 010  tr=0.6010  val_AccPaper=0.6689  val_BalAccMaj=0.4459  win_BalAcc=0.4399  win_f1_macro=0.4391
fold0 ep 011  tr=0.6007  val_AccPaper=0.6628  val_BalAccMaj=0.4419  win_BalAcc=0.4375  win_f1_macro=0.4375
fold0 ep 012  tr=0.5972  val_AccPaper=0.6622  val_BalAccMaj=0.4415  win_BalAcc=0.4350  win_f1_macro=0.4339
fold0 ep 013  tr=0.5967  val_AccPaper=0.6617  val_BalAccMaj=0.4411  win_BalAcc=0.4362  win_f1_macro=0.4356
fold0 ep 014  tr=0.5946  val_AccPaper=0.6611  val_BalAccMaj=0.4407  win_BalAcc=0.4375  win_f1_macro=0.4360
fold0 ep 015  tr=0.5939  val_AccPaper=0.6667  val_BalAccMaj=0.4444  win_BalAcc=0.4415  win_f1_macro=0.4406
fold0 ep 016  tr=0.5919  val_AccPaper=0.6639  val_BalAccMaj=0.4426  win_BalAcc=0.4395  win_f1_macro=0.4395
fold0 ep 017  tr=0.5929  val_AccPaper=0.6639  val_BalAccMaj=0.4426  win_BalAcc=0.4406  win_f1_macro=0.4398
fold0 ep 018  tr=0.5916  val_AccPaper=0.6661  val_BalAccMaj=0.4441  win_BalAcc=0.4384  win_f1_macro=0.4383
fold0 ep 019  tr=0.5883  val_AccPaper=0.6739  val_BalAccMaj=0.4493  win_BalAcc=0.4412  win_f1_macro=0.4410
fold0 ep 020  tr=0.5841  val_AccPaper=0.6617  val_BalAccMaj=0.4411  win_BalAcc=0.4369  win_f1_macro=0.4363
fold0 ep 021  tr=0.5846  val_AccPaper=0.6656  val_BalAccMaj=0.4437  win_BalAcc=0.4390  win_f1_macro=0.4382
fold0 ep 022  tr=0.5849  val_AccPaper=0.6644  val_BalAccMaj=0.4430  win_BalAcc=0.4408  win_f1_macro=0.4398
fold0 ep 023  tr=0.5814  val_AccPaper=0.6711  val_BalAccMaj=0.4474  win_BalAcc=0.4415  win_f1_macro=0.4410
fold0 ep 024  tr=0.5809  val_AccPaper=0.6700  val_BalAccMaj=0.4467  win_BalAcc=0.4415  win_f1_macro=0.4412
fold0 ep 025  tr=0.5805  val_AccPaper=0.6700  val_BalAccMaj=0.4467  win_BalAcc=0.4410  win_f1_macro=0.4409
fold0 ep 026  tr=0.5753  val_AccPaper=0.6644  val_BalAccMaj=0.4430  win_BalAcc=0.4375  win_f1_macro=0.4375
fold0 ep 027  tr=0.5749  val_AccPaper=0.6694  val_BalAccMaj=0.4463  win_BalAcc=0.4435  win_f1_macro=0.4435
fold0 ep 028  tr=0.5759  val_AccPaper=0.6689  val_BalAccMaj=0.4459  win_BalAcc=0.4413  win_f1_macro=0.4413
fold0 ep 029  tr=0.5735  val_AccPaper=0.6683  val_BalAccMaj=0.4456  win_BalAcc=0.4415  win_f1_macro=0.4414
fold0 ep 030  tr=0.5734  val_AccPaper=0.6661  val_BalAccMaj=0.4441  win_BalAcc=0.4399  win_f1_macro=0.4399
fold0 ep 031  tr=0.5704  val_AccPaper=0.6650  val_BalAccMaj=0.4433  win_BalAcc=0.4410  win_f1_macro=0.4403
fold0 ep 032  tr=0.5714  val_AccPaper=0.6728  val_BalAccMaj=0.4485  win_BalAcc=0.4452  win_f1_macro=0.4448
fold0 ep 033  tr=0.5706  val_AccPaper=0.6628  val_BalAccMaj=0.4419  win_BalAcc=0.4403  win_f1_macro=0.4403
fold0 ep 034  tr=0.5671  val_AccPaper=0.6689  val_BalAccMaj=0.4459  win_BalAcc=0.4416  win_f1_macro=0.4415
fold0 ep 035  tr=0.5666  val_AccPaper=0.6628  val_BalAccMaj=0.4419  win_BalAcc=0.4384  win_f1_macro=0.4381
fold0 ep 036  tr=0.5642  val_AccPaper=0.6583  val_BalAccMaj=0.4389  win_BalAcc=0.4397  win_f1_macro=0.4397
fold0 ep 037  tr=0.5661  val_AccPaper=0.6672  val_BalAccMaj=0.4448  win_BalAcc=0.4411  win_f1_macro=0.4410
fold0 ep 038  tr=0.5611  val_AccPaper=0.6694  val_BalAccMaj=0.4463  win_BalAcc=0.4409  win_f1_macro=0.4409
fold0 ep 039  tr=0.5615  val_AccPaper=0.6606  val_BalAccMaj=0.4404  win_BalAcc=0.4404  win_f1_macro=0.4404
fold0 early stop @ ep 39
fold1 ep 001  tr=0.9804  val_AccPaper=0.6006  val_BalAccMaj=0.4067  win_BalAcc=0.3913  win_f1_macro=0.4153
fold1 ep 002  tr=0.7514  val_AccPaper=0.6506  val_BalAccMaj=0.4341  win_BalAcc=0.4276  win_f1_macro=0.4266
fold1 ep 003  tr=0.6921  val_AccPaper=0.6706  val_BalAccMaj=0.4470  win_BalAcc=0.4399  win_f1_macro=0.4371
fold1 ep 004  tr=0.6669  val_AccPaper=0.6772  val_BalAccMaj=0.4515  win_BalAcc=0.4473  win_f1_macro=0.4469
fold1 ep 005  tr=0.6602  val_AccPaper=0.6694  val_BalAccMaj=0.4463  win_BalAcc=0.4401  win_f1_macro=0.4383
fold1 ep 006  tr=0.6521  val_AccPaper=0.6872  val_BalAccMaj=0.4581  win_BalAcc=0.4483  win_f1_macro=0.4475
fold1 ep 007  tr=0.6446  val_AccPaper=0.6728  val_BalAccMaj=0.4485  win_BalAcc=0.4419  win_f1_macro=0.4390
fold1 ep 008  tr=0.6413  val_AccPaper=0.6828  val_BalAccMaj=0.4552  win_BalAcc=0.4451  win_f1_macro=0.4439
