lsl_time,C3,C4,CZ,CP3,CP4,CPZ,FC3,FC4
316013.9069144833,-662.2388916015625,-1236.8939208984375,-1103.3741455078125,-1172.0386962890625,-1078.1058349609375,-668.6702880859375,-1331.610107421875,-1521.76708984375
316013.9109144833,-662.4607543945312,-1236.2584228515625,-1102.8475341796875,-1171.567138671875,-1078.30322265625,-669.6185302734375,-1330.8487548828125,-1521.27197265625
316013.9149144833,-657.9013671875,-1231.0125732421875,-1097.7236328125,-1166.351318359375,-1073.894775390625,-665.8330688476562,-1325.4326171875,-1516.23095703125
316013.9189144833,-653.8726196289062,-1227.320556640625,-1094.0126953125,-1162.5772705078125,-1070.0228271484375,-661.8037719726562,-1321.7415771484375,-1512.5150146484375
316013.9229144833,-657.16796875,-1231.70849609375,-1098.2437744140625,-1166.794921875,-1073.2127685546875,-663.9835205078125,-1326.3154296875,-1516.6102294921875
316013.9269144833,-662.51123046875,-1237.162109375,-1103.614501953125,-1172.216552734375,-1078.3846435546875,-668.9620361328125,-1331.76806640625,-1521.9439697265625
316013.9309144833,-662.4232788085938,-1236.0830078125,-1102.72265625,-1171.309326171875,-1078.1697998046875,-669.5725708007812,-1330.573974609375,-1520.9742431640625
316013.9349144833,-657.4937133789062,-1230.1497802734375,-1097.001220703125,-1165.4635009765625,-1073.1378173828125,-665.4163818359375,-1324.5238037109375,-1515.181396484375
316013.9389144833,-652.7430419921875,-1225.3355712890625,-1092.2191162109375,-1160.5704345703125,-1068.19775390625,-660.5377807617188,-1319.6856689453125,-1510.1802978515625
316013.9429144833,-655.9739379882812,-1229.6676025390625,-1096.3712158203125,-1164.799560546875,-1071.3138427734375,-662.6281127929688,-1324.2630615234375,-1514.2196044921875
316013.9469144833,-661.725830078125,-1235.7508544921875,-1102.322021484375,-1170.8817138671875,-1077.0396728515625,-668.072265625,-1330.402099609375,-1520.236328125
316013.9509144833,-661.8427124023438,-1234.9669189453125,-1101.7484130859375,-1170.337158203125,-1077.1131591796875,-668.9160766601562,-1329.5797119140625,-1519.690185546875
316013.9549144833,-656.73583984375,-1229.0916748046875,-1096.0445556640625,-1164.50927734375,-1072.1121826171875,-664.6215209960938,-1323.5750732421875,-1514.0338134765625
316013.9589144833,-652.3148803710938,-1224.87353515625,-1091.782958984375,-1160.2147216796875,-1067.714111328125,-660.088623046875,-1319.2845458984375,-1509.754638671875
316013.96291448333,-655.6187133789062,-1229.522216796875,-1096.203857421875,-1164.647705078125,-1071.1329345703125,-662.4512329101562,-1324.0606689453125,-1514.1461181640625
316013.9669144833,-661.2132568359375,-1235.4066162109375,-1101.957275390625,-1170.41552734375,-1076.6834716796875,-667.7705078125,-1329.9310302734375,-1519.926513671875
316013.9709144833,-661.6099243164062,-1234.7740478515625,-1101.5126953125,-1170.025390625,-1076.8883056640625,-668.7597045898438,-1329.2294921875,-1519.4659423828125
316013.9749144833,-656.693359375,-1228.830810546875,-1095.80126953125,-1164.1929931640625,-1071.83984375,-664.4796142578125,-1323.3203125,-1513.720458984375
316013.97891448333,-652.6080932617188,-1224.8175048828125,-1091.8089599609375,-1160.144287109375,-1067.72021484375,-660.2774658203125,-1319.3544921875,-1509.621826171875
316013.9829144833,-655.8165283203125,-1229.29150390625,-1096.071533203125,-1164.4498291015625,-1070.9591064453125,-662.4522705078125,-1323.9981689453125,-1513.8109130859375
316013.9869144833,-661.6019287109375,-1235.3541259765625,-1102.019287109375,-1170.5494384765625,-1076.678466796875,-667.9418334960938,-1329.993896484375,-1519.783203125
