[01:34:52] === stream sub02_ses01_20260723_180607 ===
[01:34:53] subject=sub02 trials=62 train=31 eval=31
[01:34:56] [sub02] shallow task fold0 ft_tr=1050 ft_va=252 eval=1281 full_model=True
[01:35:03] fold1 ep 022 tr=0.1369 va=0.4142 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:03] fold1 ep 023 tr=0.1233 va=0.4036 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:03] fold1 ep 024 tr=0.1347 va=0.4061 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:03] fold1 ep 025 tr=0.1048 va=0.4108 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:03] fold1 ep 026 tr=0.1011 va=0.3654 val_AccPaper=1.0000 val_BalAccMaj=1.0000
[01:35:03] fold1 ep 027 tr=0.0960 va=0.4002 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:03] fold1 ep 028 tr=0.1020 va=0.3977 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:03] fold1 ep 029 tr=0.0883 va=0.3944 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:03] fold1 ep 030 tr=0.1049 va=0.3855 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:04] fold1 ep 031 tr=0.0959 va=0.3878 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:04] fold1 ep 032 tr=0.0788 va=0.4011 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:04] fold1 ep 033 tr=0.0744 va=0.3925 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:04] fold1 ep 034 tr=0.0765 va=0.3708 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:04] fold1 ep 035 tr=0.0688 va=0.3480 val_AccPaper=1.0000 val_BalAccMaj=1.0000
[01:35:04] fold1 ep 036 tr=0.0732 va=0.3806 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:04] fold1 ep 037 tr=0.0699 va=0.3829 val_AccPaper=1.0000 val_BalAccMaj=1.0000
[01:35:04] fold1 ep 038 tr=0.0575 va=0.3824 val_AccPaper=1.0000 val_BalAccMaj=1.0000
[01:35:04]   early stop @ ep 38
[01:35:04] [eval_half] Acc_paper=0.6230 BalAcc_maj=0.6242 win_BalAcc=0.5742
[01:35:04] [sub02] shallow task fold2 ft_tr=1050 ft_va=252 eval=1281 full_model=True
[01:35:05] fold2 ep 001 tr=1.0183 va=0.7818 val_AccPaper=0.5000 val_BalAccMaj=0.5000
[01:35:05] fold2 ep 002 tr=0.6072 va=0.6645 val_AccPaper=0.6667 val_BalAccMaj=0.6667
[01:35:05] fold2 ep 003 tr=0.5445 va=0.6476 val_AccPaper=0.6667 val_BalAccMaj=0.6667
[01:35:05] fold2 ep 004 tr=0.4471 va=0.6602 val_AccPaper=0.6667 val_BalAccMaj=0.6667
[01:35:05] fold2 ep 005 tr=0.3336 va=0.6598 val_AccPaper=0.6667 val_BalAccMaj=0.6667
[01:35:05] fold2 ep 006 tr=0.3460 va=0.6120 val_AccPaper=0.6667 val_BalAccMaj=0.6667
[01:35:05] fold2 ep 007 tr=0.3045 va=0.6128 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:05] fold2 ep 008 tr=0.2846 va=0.6015 val_AccPaper=0.6667 val_BalAccMaj=0.6667
