lsl_time,C3,C4,CZ,CP3,CP4,CPZ,FC3,FC4
313309.1693581573,239.3316192626953,-185.2148895263672,-205.10398864746094,-334.7333068847656,130.5670928955078,293.325927734375,146.35446166992188,-477.9263000488281
313309.1733581573,237.6494598388672,-187.23477172851562,-207.11187744140625,-336.9035949707031,128.68809509277344,291.40447998046875,144.49395751953125,-479.8907470703125
313309.1773581573,237.40115356445312,-187.2947235107422,-207.14434814453125,-336.8536376953125,128.60916137695312,291.42596435546875,144.3925323486328,-480.0740966796875
313309.18135815725,239.4330291748047,-184.91563415527344,-204.7462615966797,-334.3286437988281,130.80589294433594,293.6282043457031,146.72816467285156,-477.80291748046875
313309.18535815727,240.34829711914062,-184.0458221435547,-203.82749938964844,-333.4488525390625,131.6202392578125,294.3016662597656,147.64743041992188,-476.7457580566406
313309.1893581573,239.29164123535156,-185.23736572265625,-204.9840850830078,-334.6648864746094,130.52862548828125,293.12310791015625,146.39593505859375,-477.7914123535156
313309.1933581573,237.60899353027344,-187.02394104003906,-206.81861877441406,-336.5463562011719,128.82647705078125,291.4334411621094,144.50393676757812,-479.57049560546875
313309.19735815725,237.17733764648438,-187.1383514404297,-206.92552185058594,-336.600830078125,128.59266662597656,291.1561584472656,144.23915100097656,-479.7598571777344
313309.20135815727,239.42953491210938,-184.53292846679688,-204.33859252929688,-333.9384460449219,130.98326110839844,293.4048767089844,146.78411865234375,-477.2363586425781
313309.2053581573,240.5411376953125,-183.69261169433594,-203.43231201171875,-332.9712219238281,131.8785400390625,294.4964904785156,147.7598419189453,-476.3251037597656
313309.2093581573,239.55642700195312,-185.14793395996094,-204.81121826171875,-334.3756103515625,130.53460693359375,293.2445068359375,146.538818359375,-477.6400451660156
313309.21335815726,237.66844177246094,-187.25975036621094,-206.96749877929688,-336.6452941894531,128.4662628173828,291.1072082519531,144.43600463867188,-479.6744079589844
313309.2173581573,237.33270263671875,-187.19529724121094,-206.9669952392578,-336.6592712402344,128.59815979003906,291.3150329589844,144.2741241455078,-479.8258056640625
313309.2213581573,239.69232177734375,-184.58338928222656,-204.37457275390625,-333.9789123535156,131.21707153320312,294.06134033203125,146.9195098876953,-477.4386901855469
313309.22535815724,240.86988830566406,-183.6486358642578,-203.44931030273438,-333.1585693359375,132.34866333007812,295.2284240722656,148.05960083007812,-476.5469055175781
313309.22935815726,239.74777221679688,-185.1429443359375,-204.97657775878906,-334.75030517578125,131.0142364501953,293.8140563964844,146.69068908691406,-477.9907531738281
313309.2333581573,237.99618530273438,-187.21078491210938,-207.0304412841797,-336.7966613769531,129.06329345703125,291.94903564453125,144.7177734375,-480.01715087890625
313309.2373581573,237.4770965576172,-187.43112182617188,-207.2367706298828,-336.8636169433594,128.716064453125,291.66876220703125,144.34356689453125,-480.2889099121094
313309.24135815725,239.27015686035156,-185.22238159179688,-205.09698486328125,-334.6623840332031,130.80490112304688,293.7505798339844,146.42990112304688,-478.2820129394531
313309.24535815726,240.48318481445312,-184.21868896484375,-204.09979248046875,-333.70513916015625,131.88104248046875,294.8627014160156,147.5465087890625,-477.29180908203125
313309.2493581573,239.4340362548828,-185.7269744873047,-205.59658813476562,-335.29437255859375,130.5496063232422,293.5587463378906,146.23855590820312,-478.7291564941406
313309.2533581573,237.4720916748047,-187.96319580078125,-207.85728454589844,-337.64300537109375,128.36184692382812,291.34600830078125,144.07078552246094,-480.8974304199219
313309.25735815725,237.23928833007812,-187.9252166748047,-207.83580017089844,-337.5450744628906,128.3243865966797,291.2605895996094,143.974365234375,-480.9918518066406
313309.26135815727,239.3141326904297,-185.38475036621094,-205.34278869628906,-334.9811096191406,130.71946716308594,293.6426696777344,146.37794494628906,-478.645751953125
