start arm=T1_128 device=cuda n_classes=3 y_counts={0: 91800, 1: 91800, 2: 91800} pf_protocol_version=3 no_rest=False
[T1_128] §3.2.1 future-perturb ratio=132.644
fold1 ep 014  tr=1.9823  val_AccPaper=0.7815  val_BalAccMaj=0.7815  win_BalAcc=0.7791  win_f1_macro=0.7789
fold1 ep 015  tr=1.9761  val_AccPaper=0.7737  val_BalAccMaj=0.7737  win_BalAcc=0.7702  win_f1_macro=0.7685
fold1 ep 016  tr=1.9712  val_AccPaper=0.7722  val_BalAccMaj=0.7722  win_BalAcc=0.7654  win_f1_macro=0.7608
fold1 ep 017  tr=1.9627  val_AccPaper=0.7859  val_BalAccMaj=0.7859  win_BalAcc=0.7807  win_f1_macro=0.7802
fold1 ep 018  tr=1.9592  val_AccPaper=0.7667  val_BalAccMaj=0.7667  win_BalAcc=0.7660  win_f1_macro=0.7594
fold1 ep 019  tr=1.9471  val_AccPaper=0.7689  val_BalAccMaj=0.7689  win_BalAcc=0.7672  win_f1_macro=0.7641
fold1 ep 020  tr=1.9462  val_AccPaper=0.7826  val_BalAccMaj=0.7826  win_BalAcc=0.7732  win_f1_macro=0.7723
fold1 ep 021  tr=1.9368  val_AccPaper=0.7878  val_BalAccMaj=0.7878  win_BalAcc=0.7790  win_f1_macro=0.7785
fold1 ep 022  tr=1.9302  val_AccPaper=0.7689  val_BalAccMaj=0.7689  win_BalAcc=0.7666  win_f1_macro=0.7640
fold1 early stop @ ep 22
fold2 ep 001  tr=2.3963  val_AccPaper=0.7641  val_BalAccMaj=0.7641  win_BalAcc=0.7618  win_f1_macro=0.7615
fold2 ep 002  tr=2.1691  val_AccPaper=0.7644  val_BalAccMaj=0.7644  win_BalAcc=0.7634  win_f1_macro=0.7630
fold2 ep 003  tr=2.1060  val_AccPaper=0.7656  val_BalAccMaj=0.7656  win_BalAcc=0.7612  win_f1_macro=0.7610
fold2 ep 004  tr=2.0668  val_AccPaper=0.7663  val_BalAccMaj=0.7663  win_BalAcc=0.7607  win_f1_macro=0.7602
fold2 ep 005  tr=2.0373  val_AccPaper=0.7581  val_BalAccMaj=0.7581  win_BalAcc=0.7568  win_f1_macro=0.7497
fold2 ep 006  tr=2.0196  val_AccPaper=0.7693  val_BalAccMaj=0.7693  win_BalAcc=0.7627  win_f1_macro=0.7610
fold2 ep 007  tr=2.0110  val_AccPaper=0.7604  val_BalAccMaj=0.7604  win_BalAcc=0.7550  win_f1_macro=0.7533
fold2 ep 008  tr=1.9872  val_AccPaper=0.7604  val_BalAccMaj=0.7604  win_BalAcc=0.7554  win_f1_macro=0.7532
fold2 ep 009  tr=1.9749  val_AccPaper=0.7578  val_BalAccMaj=0.7578  win_BalAcc=0.7561  win_f1_macro=0.7545
fold2 ep 010  tr=1.9698  val_AccPaper=0.7633  val_BalAccMaj=0.7633  win_BalAcc=0.7591  win_f1_macro=0.7578
fold2 ep 011  tr=1.9534  val_AccPaper=0.7670  val_BalAccMaj=0.7670  win_BalAcc=0.7570  win_f1_macro=0.7546
fold2 ep 012  tr=1.9421  val_AccPaper=0.7633  val_BalAccMaj=0.7633  win_BalAcc=0.7562  win_f1_macro=0.7532
fold2 ep 013  tr=1.9366  val_AccPaper=0.7644  val_BalAccMaj=0.7644  win_BalAcc=0.7582  win_f1_macro=0.7569
fold2 ep 014  tr=1.9286  val_AccPaper=0.7593  val_BalAccMaj=0.7593  win_BalAcc=0.7574  win_f1_macro=0.7562
fold2 ep 015  tr=1.9128  val_AccPaper=0.7619  val_BalAccMaj=0.7619  win_BalAcc=0.7589  win_f1_macro=0.7585
fold2 ep 016  tr=1.9088  val_AccPaper=0.7622  val_BalAccMaj=0.7622  win_BalAcc=0.7562  win_f1_macro=0.7525
fold2 ep 017  tr=1.9029  val_AccPaper=0.7533  val_BalAccMaj=0.7533  win_BalAcc=0.7511  win_f1_macro=0.7441
fold2 ep 018  tr=1.8898  val_AccPaper=0.7548  val_BalAccMaj=0.7548  win_BalAcc=0.7518  win_f1_macro=0.7466
fold2 ep 019  tr=1.8824  val_AccPaper=0.7556  val_BalAccMaj=0.7556  win_BalAcc=0.7527  win_f1_macro=0.7493
fold2 ep 020  tr=1.8753  val_AccPaper=0.7596  val_BalAccMaj=0.7596  win_BalAcc=0.7560  win_f1_macro=0.7533
fold2 ep 021  tr=1.8690  val_AccPaper=0.7548  val_BalAccMaj=0.7548  win_BalAcc=0.7529  win_f1_macro=0.7508
fold2 ep 022  tr=1.8646  val_AccPaper=0.7596  val_BalAccMaj=0.7596  win_BalAcc=0.7559  win_f1_macro=0.7512
fold2 ep 023  tr=1.8545  val_AccPaper=0.7559  val_BalAccMaj=0.7559  win_BalAcc=0.7560  win_f1_macro=0.7550
fold2 ep 024  tr=1.8455  val_AccPaper=0.7559  val_BalAccMaj=0.7559  win_BalAcc=0.7570  win_f1_macro=0.7564
fold2 ep 025  tr=1.8362  val_AccPaper=0.7530  val_BalAccMaj=0.7530  win_BalAcc=0.7499  win_f1_macro=0.7432
fold2 ep 026  tr=1.8330  val_AccPaper=0.7615  val_BalAccMaj=0.7615  win_BalAcc=0.7569  win_f1_macro=0.7559
fold2 early stop @ ep 26
fold3 ep 001  tr=2.4312  val_AccPaper=0.7874  val_BalAccMaj=0.7874  win_BalAcc=0.7815  win_f1_macro=0.7811
fold3 ep 002  tr=2.2181  val_AccPaper=0.7904  val_BalAccMaj=0.7904  win_BalAcc=0.7856  win_f1_macro=0.7846
fold3 ep 003  tr=2.1598  val_AccPaper=0.7993  val_BalAccMaj=0.7993  win_BalAcc=0.7900  win_f1_macro=0.7896
fold3 ep 004  tr=2.1104  val_AccPaper=0.7941  val_BalAccMaj=0.7941  win_BalAcc=0.7898  win_f1_macro=0.7896
fold3 ep 005  tr=2.0897  val_AccPaper=0.7867  val_BalAccMaj=0.7867  win_BalAcc=0.7861  win_f1_macro=0.7842
fold3 ep 006  tr=2.0717  val_AccPaper=0.7944  val_BalAccMaj=0.7944  win_BalAcc=0.7881  win_f1_macro=0.7877
fold3 ep 007  tr=2.0558  val_AccPaper=0.7981  val_BalAccMaj=0.7981  win_BalAcc=0.7903  win_f1_macro=0.7902
fold3 ep 008  tr=2.0438  val_AccPaper=0.7881  val_BalAccMaj=0.7881  win_BalAcc=0.7838  win_f1_macro=0.7833
fold3 ep 009  tr=2.0316  val_AccPaper=0.8007  val_BalAccMaj=0.8007  win_BalAcc=0.7952  win_f1_macro=0.7941
fold3 ep 010  tr=2.0237  val_AccPaper=0.7911  val_BalAccMaj=0.7911  win_BalAcc=0.7886  win_f1_macro=0.7879
fold3 ep 011  tr=2.0075  val_AccPaper=0.7893  val_BalAccMaj=0.7893  win_BalAcc=0.7817  win_f1_macro=0.7813
fold3 ep 012  tr=1.9976  val_AccPaper=0.7989  val_BalAccMaj=0.7989  win_BalAcc=0.7921  win_f1_macro=0.7918
fold3 ep 013  tr=1.9913  val_AccPaper=0.7956  val_BalAccMaj=0.7956  win_BalAcc=0.7923  win_f1_macro=0.7921
fold3 ep 014  tr=1.9776  val_AccPaper=0.8011  val_BalAccMaj=0.8011  win_BalAcc=0.7918  win_f1_macro=0.7910
fold3 ep 015  tr=1.9689  val_AccPaper=0.7944  val_BalAccMaj=0.7944  win_BalAcc=0.7871  win_f1_macro=0.7870
fold3 ep 016  tr=1.9641  val_AccPaper=0.7974  val_BalAccMaj=0.7974  win_BalAcc=0.7894  win_f1_macro=0.7888
fold3 ep 017  tr=1.9505  val_AccPaper=0.8022  val_BalAccMaj=0.8022  win_BalAcc=0.7944  win_f1_macro=0.7943
