start arm=B5b device=cuda n_classes=3 y_counts={0: 91800, 1: 91800, 2: 91800} pf_protocol_version=3 no_rest=False
[B5b] §3.2.1 future-perturb ratio=134.064
fold1 ep 005  tr=1.7723  val_AccPaper=0.5656  val_BalAccMaj=0.5711  win_BalAcc=0.5654  win_f1_macro=0.5646
fold1 ep 006  tr=1.7536  val_AccPaper=0.5767  val_BalAccMaj=0.5822  win_BalAcc=0.5692  win_f1_macro=0.5687
fold1 ep 007  tr=1.7444  val_AccPaper=0.5707  val_BalAccMaj=0.5744  win_BalAcc=0.5647  win_f1_macro=0.5637
fold1 ep 008  tr=1.7310  val_AccPaper=0.5737  val_BalAccMaj=0.5796  win_BalAcc=0.5664  win_f1_macro=0.5654
fold1 ep 009  tr=1.7271  val_AccPaper=0.5685  val_BalAccMaj=0.5737  win_BalAcc=0.5654  win_f1_macro=0.5639
fold1 ep 010  tr=1.7161  val_AccPaper=0.5767  val_BalAccMaj=0.5826  win_BalAcc=0.5710  win_f1_macro=0.5700
fold1 ep 011  tr=1.7127  val_AccPaper=0.5685  val_BalAccMaj=0.5744  win_BalAcc=0.5665  win_f1_macro=0.5653
fold1 ep 012  tr=1.7066  val_AccPaper=0.5667  val_BalAccMaj=0.5719  win_BalAcc=0.5655  win_f1_macro=0.5650
fold1 ep 013  tr=1.7005  val_AccPaper=0.5678  val_BalAccMaj=0.5730  win_BalAcc=0.5651  win_f1_macro=0.5630
fold1 ep 014  tr=1.7020  val_AccPaper=0.5604  val_BalAccMaj=0.5674  win_BalAcc=0.5598  win_f1_macro=0.5574
fold1 ep 015  tr=1.6838  val_AccPaper=0.5693  val_BalAccMaj=0.5763  win_BalAcc=0.5647  win_f1_macro=0.5629
fold1 ep 016  tr=1.6830  val_AccPaper=0.5756  val_BalAccMaj=0.5811  win_BalAcc=0.5680  win_f1_macro=0.5663
fold1 ep 017  tr=1.6716  val_AccPaper=0.5685  val_BalAccMaj=0.5741  win_BalAcc=0.5619  win_f1_macro=0.5585
fold1 ep 018  tr=1.6709  val_AccPaper=0.5756  val_BalAccMaj=0.5815  win_BalAcc=0.5692  win_f1_macro=0.5669
fold1 ep 019  tr=1.6651  val_AccPaper=0.5626  val_BalAccMaj=0.5689  win_BalAcc=0.5576  win_f1_macro=0.5549
fold1 ep 020  tr=1.6678  val_AccPaper=0.5689  val_BalAccMaj=0.5789  win_BalAcc=0.5676  win_f1_macro=0.5657
fold1 ep 021  tr=1.6585  val_AccPaper=0.5707  val_BalAccMaj=0.5763  win_BalAcc=0.5663  win_f1_macro=0.5651
fold1 ep 022  tr=1.6579  val_AccPaper=0.5630  val_BalAccMaj=0.5689  win_BalAcc=0.5638  win_f1_macro=0.5602
fold1 ep 023  tr=1.6497  val_AccPaper=0.5656  val_BalAccMaj=0.5722  win_BalAcc=0.5635  win_f1_macro=0.5620
fold1 ep 024  tr=1.6548  val_AccPaper=0.5626  val_BalAccMaj=0.5696  win_BalAcc=0.5635  win_f1_macro=0.5602
fold1 ep 025  tr=1.6497  val_AccPaper=0.5707  val_BalAccMaj=0.5785  win_BalAcc=0.5687  win_f1_macro=0.5671
fold1 ep 026  tr=1.6394  val_AccPaper=0.5719  val_BalAccMaj=0.5796  win_BalAcc=0.5676  win_f1_macro=0.5656
fold1 early stop @ ep 26
fold2 ep 001  tr=2.0979  val_AccPaper=0.5219  val_BalAccMaj=0.5274  win_BalAcc=0.5208  win_f1_macro=0.5192
fold2 ep 002  tr=1.8150  val_AccPaper=0.5322  val_BalAccMaj=0.5385  win_BalAcc=0.5295  win_f1_macro=0.5301
fold2 ep 003  tr=1.7377  val_AccPaper=0.5393  val_BalAccMaj=0.5456  win_BalAcc=0.5321  win_f1_macro=0.5309
fold2 ep 004  tr=1.6982  val_AccPaper=0.5359  val_BalAccMaj=0.5400  win_BalAcc=0.5285  win_f1_macro=0.5280
fold2 ep 005  tr=1.6817  val_AccPaper=0.5322  val_BalAccMaj=0.5378  win_BalAcc=0.5273  win_f1_macro=0.5263
fold2 ep 006  tr=1.6612  val_AccPaper=0.5289  val_BalAccMaj=0.5367  win_BalAcc=0.5257  win_f1_macro=0.5227
fold2 ep 007  tr=1.6491  val_AccPaper=0.5319  val_BalAccMaj=0.5359  win_BalAcc=0.5306  win_f1_macro=0.5275
fold2 ep 008  tr=1.6424  val_AccPaper=0.5330  val_BalAccMaj=0.5370  win_BalAcc=0.5281  win_f1_macro=0.5254
fold2 ep 009  tr=1.6298  val_AccPaper=0.5400  val_BalAccMaj=0.5444  win_BalAcc=0.5316  win_f1_macro=0.5296
fold2 ep 010  tr=1.6190  val_AccPaper=0.5370  val_BalAccMaj=0.5437  win_BalAcc=0.5324  win_f1_macro=0.5311
fold2 ep 011  tr=1.6102  val_AccPaper=0.5430  val_BalAccMaj=0.5496  win_BalAcc=0.5338  win_f1_macro=0.5324
fold2 ep 012  tr=1.6046  val_AccPaper=0.5359  val_BalAccMaj=0.5404  win_BalAcc=0.5286  win_f1_macro=0.5249
fold2 ep 013  tr=1.5975  val_AccPaper=0.5459  val_BalAccMaj=0.5515  win_BalAcc=0.5369  win_f1_macro=0.5356
fold2 ep 014  tr=1.5874  val_AccPaper=0.5367  val_BalAccMaj=0.5400  win_BalAcc=0.5300  win_f1_macro=0.5271
fold2 ep 015  tr=1.5864  val_AccPaper=0.5333  val_BalAccMaj=0.5389  win_BalAcc=0.5251  win_f1_macro=0.5211
fold2 ep 016  tr=1.5820  val_AccPaper=0.5370  val_BalAccMaj=0.5430  win_BalAcc=0.5317  win_f1_macro=0.5298
fold2 ep 017  tr=1.5707  val_AccPaper=0.5378  val_BalAccMaj=0.5437  win_BalAcc=0.5281  win_f1_macro=0.5249
fold2 ep 018  tr=1.5683  val_AccPaper=0.5344  val_BalAccMaj=0.5415  win_BalAcc=0.5238  win_f1_macro=0.5198
fold2 ep 019  tr=1.5635  val_AccPaper=0.5337  val_BalAccMaj=0.5407  win_BalAcc=0.5268  win_f1_macro=0.5237
fold2 ep 020  tr=1.5596  val_AccPaper=0.5385  val_BalAccMaj=0.5444  win_BalAcc=0.5301  win_f1_macro=0.5284
fold2 ep 021  tr=1.5505  val_AccPaper=0.5337  val_BalAccMaj=0.5393  win_BalAcc=0.5281  win_f1_macro=0.5254
fold2 ep 022  tr=1.5521  val_AccPaper=0.5337  val_BalAccMaj=0.5407  win_BalAcc=0.5269  win_f1_macro=0.5235
