start arm=A1 device=cuda n_classes=3
[A1] §3.2.1 future-perturb ratio=123.398
fold1 ep 007  tr=0.5277  val_AccPaper=0.6683  val_BalAccMaj=0.4456  win_BalAcc=0.4394  win_f1_macro=0.4363
fold1 ep 008  tr=0.5221  val_AccPaper=0.6633  val_BalAccMaj=0.4422  win_BalAcc=0.4375  win_f1_macro=0.4343
fold1 ep 009  tr=0.5182  val_AccPaper=0.6883  val_BalAccMaj=0.4589  win_BalAcc=0.4512  win_f1_macro=0.4511
fold1 ep 010  tr=0.5191  val_AccPaper=0.6467  val_BalAccMaj=0.4311  win_BalAcc=0.4310  win_f1_macro=0.4219
fold1 ep 011  tr=0.5131  val_AccPaper=0.6522  val_BalAccMaj=0.4348  win_BalAcc=0.4344  win_f1_macro=0.4296
fold1 ep 012  tr=0.5108  val_AccPaper=0.6611  val_BalAccMaj=0.4407  win_BalAcc=0.4364  win_f1_macro=0.4315
fold1 ep 013  tr=0.5073  val_AccPaper=0.6850  val_BalAccMaj=0.4567  win_BalAcc=0.4489  win_f1_macro=0.4485
fold1 ep 014  tr=0.5054  val_AccPaper=0.6894  val_BalAccMaj=0.4596  win_BalAcc=0.4505  win_f1_macro=0.4498
fold1 ep 015  tr=0.5032  val_AccPaper=0.6656  val_BalAccMaj=0.4437  win_BalAcc=0.4409  win_f1_macro=0.4361
fold1 ep 016  tr=0.5041  val_AccPaper=0.6661  val_BalAccMaj=0.4441  win_BalAcc=0.4395  win_f1_macro=0.4354
fold1 ep 017  tr=0.4994  val_AccPaper=0.6483  val_BalAccMaj=0.4322  win_BalAcc=0.4329  win_f1_macro=0.4265
fold1 ep 018  tr=0.4974  val_AccPaper=0.6667  val_BalAccMaj=0.4444  win_BalAcc=0.4389  win_f1_macro=0.4354
fold1 ep 019  tr=0.4980  val_AccPaper=0.6650  val_BalAccMaj=0.4433  win_BalAcc=0.4413  win_f1_macro=0.4396
fold1 ep 020  tr=0.4951  val_AccPaper=0.6811  val_BalAccMaj=0.4541  win_BalAcc=0.4482  win_f1_macro=0.4473
fold1 ep 021  tr=0.4930  val_AccPaper=0.6639  val_BalAccMaj=0.4426  win_BalAcc=0.4371  win_f1_macro=0.4333
