start arm=B3 device=cuda n_classes=3 y_counts={0: 91800, 1: 91800, 2: 91800} pf_protocol_version=3 no_rest=False
[B3] §3.2.1 future-perturb ratio=122.131
fold0 ep 001  tr=2.0876  val_AccPaper=0.5078  val_BalAccMaj=0.5115  win_BalAcc=0.5064  win_f1_macro=0.4949
fold0 ep 002  tr=1.8278  val_AccPaper=0.5459  val_BalAccMaj=0.5485  win_BalAcc=0.5373  win_f1_macro=0.5372
fold0 ep 003  tr=1.7493  val_AccPaper=0.5504  val_BalAccMaj=0.5533  win_BalAcc=0.5426  win_f1_macro=0.5423
fold0 ep 004  tr=1.6996  val_AccPaper=0.5530  val_BalAccMaj=0.5552  win_BalAcc=0.5462  win_f1_macro=0.5460
fold0 ep 005  tr=1.6787  val_AccPaper=0.5581  val_BalAccMaj=0.5630  win_BalAcc=0.5500  win_f1_macro=0.5504
fold0 ep 006  tr=1.6606  val_AccPaper=0.5596  val_BalAccMaj=0.5656  win_BalAcc=0.5539  win_f1_macro=0.5545
fold0 ep 007  tr=1.6456  val_AccPaper=0.5556  val_BalAccMaj=0.5600  win_BalAcc=0.5530  win_f1_macro=0.5522
fold0 ep 008  tr=1.6341  val_AccPaper=0.5678  val_BalAccMaj=0.5722  win_BalAcc=0.5574  win_f1_macro=0.5565
fold0 ep 009  tr=1.6302  val_AccPaper=0.5581  val_BalAccMaj=0.5637  win_BalAcc=0.5533  win_f1_macro=0.5542
fold0 ep 010  tr=1.6156  val_AccPaper=0.5641  val_BalAccMaj=0.5715  win_BalAcc=0.5577  win_f1_macro=0.5573
fold0 ep 011  tr=1.6129  val_AccPaper=0.5593  val_BalAccMaj=0.5663  win_BalAcc=0.5553  win_f1_macro=0.5560
fold0 ep 012  tr=1.6082  val_AccPaper=0.5578  val_BalAccMaj=0.5652  win_BalAcc=0.5502  win_f1_macro=0.5507
fold0 ep 013  tr=1.5981  val_AccPaper=0.5615  val_BalAccMaj=0.5681  win_BalAcc=0.5565  win_f1_macro=0.5572
fold0 ep 014  tr=1.5942  val_AccPaper=0.5622  val_BalAccMaj=0.5685  win_BalAcc=0.5547  win_f1_macro=0.5554
fold0 ep 015  tr=1.5869  val_AccPaper=0.5719  val_BalAccMaj=0.5793  win_BalAcc=0.5621  win_f1_macro=0.5623
fold0 ep 016  tr=1.5821  val_AccPaper=0.5619  val_BalAccMaj=0.5670  win_BalAcc=0.5548  win_f1_macro=0.5551
fold0 ep 017  tr=1.5787  val_AccPaper=0.5630  val_BalAccMaj=0.5678  win_BalAcc=0.5564  win_f1_macro=0.5565
