lsl_time,C3,C4,CZ,CP3,CP4,CPZ,FC3,FC4
315937.09091448085,-661.2327270507812,-1230.5289306640625,-1089.0631103515625,-1141.1844482421875,-1065.8760986328125,-666.8696899414062,-1284.6971435546875,-1491.1510009765625
315937.09491448087,-653.0267944335938,-1221.4852294921875,-1080.276123046875,-1132.2076416015625,-1057.9169921875,-659.3257446289062,-1275.637939453125,-1482.5040283203125
315937.0989144809,-647.9738159179688,-1217.493408203125,-1076.16796875,-1128.0159912109375,-1053.2337646484375,-653.76220703125,-1271.8939208984375,-1478.666015625
315937.10291448084,-656.3231811523438,-1228.2947998046875,-1086.3507080078125,-1138.441650390625,-1062.152587890625,-661.1088256835938,-1282.903564453125,-1489.50732421875
315937.10691448086,-665.7001342773438,-1238.6025390625,-1096.287353515625,-1148.5994873046875,-1072.07470703125,-670.562255859375,-1293.1864013671875,-1500.1439208984375
315937.1109144809,-664.7953491210938,-1236.676025390625,-1094.5787353515625,-1146.8634033203125,-1071.212890625,-670.3909301757812,-1291.111083984375,-1498.5616455078125
315937.1149144809,-656.2492065429688,-1226.9708251953125,-1085.220703125,-1137.278564453125,-1062.623779296875,-662.4312744140625,-1281.4322509765625,-1489.169677734375
315937.11891448084,-650.0046997070312,-1220.80322265625,-1079.196044921875,-1131.0625,-1056.0235595703125,-655.6221923828125,-1275.4560546875,-1482.751220703125
315937.12291448086,-656.4210815429688,-1227.881591796875,-1086.0899658203125,-1138.100830078125,-1061.741455078125,-661.00390625,-1282.5609130859375,-1489.061279296875
315937.1269144809,-664.5031127929688,-1235.6888427734375,-1093.80029296875,-1146.009521484375,-1069.5341796875,-669.204345703125,-1290.2152099609375,-1496.626220703125
315937.1309144809,-663.2760620117188,-1233.1993408203125,-1091.5516357421875,-1143.659423828125,-1068.1807861328125,-668.6992797851562,-1287.602294921875,-1494.324462890625
315937.13491448085,-654.4266967773438,-1223.08740234375,-1081.7904052734375,-1133.6634521484375,-1059.262939453125,-660.529296875,-1277.3560791015625,-1484.3604736328125
315937.13891448086,-648.2735595703125,-1217.258544921875,-1076.0130615234375,-1127.7476806640625,-1052.991943359375,-653.8995971679688,-1271.6611328125,-1478.307373046875
315937.1429144809,-655.7686157226562,-1226.395263671875,-1084.737060546875,-1136.7005615234375,-1060.491455078125,-660.3869018554688,-1280.95166015625,-1487.1142578125
315937.1469144809,-663.7962036132812,-1234.8260498046875,-1092.9315185546875,-1145.1187744140625,-1068.7322998046875,-668.5404052734375,-1289.24755859375,-1495.594970703125
315937.15091448085,-662.5626831054688,-1232.494873046875,-1090.82568359375,-1142.924560546875,-1067.505859375,-668.0597534179688,-1286.76953125,-1493.501708984375
315937.15491448087,-654.4771118164062,-1223.2127685546875,-1081.9068603515625,-1133.8062744140625,-1059.4033203125,-660.6072387695312,-1277.43896484375,-1484.4573974609375
315937.1589144809,-648.2326049804688,-1217.22216796875,-1076.0135498046875,-1127.8011474609375,-1052.9874267578125,-653.8361206054688,-1271.6181640625,-1478.2633056640625
315937.1629144809,-655.714111328125,-1226.2064208984375,-1084.609130859375,-1136.6146240234375,-1060.383544921875,-660.3214721679688,-1280.7442626953125,-1486.8385009765625
315937.16691448085,-664.7489013671875,-1235.4085693359375,-1093.617919921875,-1145.814208984375,-1069.415283203125,-669.399169921875,-1289.8890380859375,-1496.0072021484375
315937.17091448087,-662.931884765625,-1232.4989013671875,-1090.943115234375,-1142.9940185546875,-1067.605712890625,-668.3445434570312,-1286.8538818359375,-1493.328857421875
315937.1749144809,-654.4985961914062,-1222.8880615234375,-1081.6669921875,-1133.5159912109375,-1059.1710205078125,-660.55224609375,-1277.1746826171875,-1483.9512939453125
