start arm=U1 device=cuda n_classes=3 y_counts={0: 91800, 1: 91800, 2: 91800} pf_protocol_version=3 no_rest=False
[U1] §3.2.1 future-perturb ratio=127.452
fold1 ep 012  tr=1.8350  val_AccPaper=0.5600  val_BalAccMaj=0.5670  win_BalAcc=0.5618  win_f1_macro=0.5598
fold1 ep 013  tr=1.8206  val_AccPaper=0.5663  val_BalAccMaj=0.5733  win_BalAcc=0.5645  win_f1_macro=0.5629
fold1 ep 014  tr=1.8113  val_AccPaper=0.5637  val_BalAccMaj=0.5722  win_BalAcc=0.5618  win_f1_macro=0.5604
fold1 ep 015  tr=1.8057  val_AccPaper=0.5563  val_BalAccMaj=0.5619  win_BalAcc=0.5547  win_f1_macro=0.5512
fold1 ep 016  tr=1.7981  val_AccPaper=0.5615  val_BalAccMaj=0.5700  win_BalAcc=0.5583  win_f1_macro=0.5554
fold1 ep 017  tr=1.7932  val_AccPaper=0.5581  val_BalAccMaj=0.5656  win_BalAcc=0.5574  win_f1_macro=0.5549
fold1 ep 018  tr=1.7884  val_AccPaper=0.5515  val_BalAccMaj=0.5593  win_BalAcc=0.5553  win_f1_macro=0.5525
fold1 ep 019  tr=1.7738  val_AccPaper=0.5630  val_BalAccMaj=0.5689  win_BalAcc=0.5590  win_f1_macro=0.5566
fold1 ep 020  tr=1.7728  val_AccPaper=0.5663  val_BalAccMaj=0.5763  win_BalAcc=0.5629  win_f1_macro=0.5611
fold1 ep 021  tr=1.7670  val_AccPaper=0.5607  val_BalAccMaj=0.5696  win_BalAcc=0.5544  win_f1_macro=0.5516
fold1 ep 022  tr=1.7597  val_AccPaper=0.5574  val_BalAccMaj=0.5656  win_BalAcc=0.5562  win_f1_macro=0.5539
fold1 ep 023  tr=1.7560  val_AccPaper=0.5659  val_BalAccMaj=0.5737  win_BalAcc=0.5647  win_f1_macro=0.5646
fold1 ep 024  tr=1.7544  val_AccPaper=0.5637  val_BalAccMaj=0.5722  win_BalAcc=0.5608  win_f1_macro=0.5589
fold1 ep 025  tr=1.7442  val_AccPaper=0.5637  val_BalAccMaj=0.5704  win_BalAcc=0.5567  win_f1_macro=0.5525
fold1 ep 026  tr=1.7374  val_AccPaper=0.5626  val_BalAccMaj=0.5696  win_BalAcc=0.5610  win_f1_macro=0.5597
fold1 ep 027  tr=1.7333  val_AccPaper=0.5581  val_BalAccMaj=0.5637  win_BalAcc=0.5553  win_f1_macro=0.5495
fold1 ep 028  tr=1.7332  val_AccPaper=0.5585  val_BalAccMaj=0.5663  win_BalAcc=0.5589  win_f1_macro=0.5561
fold1 ep 029  tr=1.7305  val_AccPaper=0.5526  val_BalAccMaj=0.5615  win_BalAcc=0.5484  win_f1_macro=0.5455
fold1 early stop @ ep 29
fold2 ep 001  tr=2.3733  val_AccPaper=0.5126  val_BalAccMaj=0.5170  win_BalAcc=0.5091  win_f1_macro=0.5091
fold2 ep 002  tr=1.9986  val_AccPaper=0.5289  val_BalAccMaj=0.5344  win_BalAcc=0.5275  win_f1_macro=0.5286
fold2 ep 003  tr=1.9124  val_AccPaper=0.5278  val_BalAccMaj=0.5337  win_BalAcc=0.5257  win_f1_macro=0.5254
fold2 ep 004  tr=1.8727  val_AccPaper=0.5315  val_BalAccMaj=0.5363  win_BalAcc=0.5290  win_f1_macro=0.5285
fold2 ep 005  tr=1.8423  val_AccPaper=0.5281  val_BalAccMaj=0.5341  win_BalAcc=0.5272  win_f1_macro=0.5242
fold2 ep 006  tr=1.8187  val_AccPaper=0.5281  val_BalAccMaj=0.5370  win_BalAcc=0.5291  win_f1_macro=0.5281
fold2 ep 007  tr=1.7970  val_AccPaper=0.5300  val_BalAccMaj=0.5367  win_BalAcc=0.5275  win_f1_macro=0.5254
fold2 ep 008  tr=1.7825  val_AccPaper=0.5296  val_BalAccMaj=0.5359  win_BalAcc=0.5312  win_f1_macro=0.5285
fold2 ep 009  tr=1.7700  val_AccPaper=0.5456  val_BalAccMaj=0.5489  win_BalAcc=0.5386  win_f1_macro=0.5378
fold2 ep 010  tr=1.7572  val_AccPaper=0.5304  val_BalAccMaj=0.5378  win_BalAcc=0.5269  win_f1_macro=0.5238
fold2 ep 011  tr=1.7520  val_AccPaper=0.5344  val_BalAccMaj=0.5415  win_BalAcc=0.5282  win_f1_macro=0.5261
fold2 ep 012  tr=1.7408  val_AccPaper=0.5422  val_BalAccMaj=0.5470  win_BalAcc=0.5333  win_f1_macro=0.5293
fold2 ep 013  tr=1.7274  val_AccPaper=0.5352  val_BalAccMaj=0.5422  win_BalAcc=0.5327  win_f1_macro=0.5303
fold2 ep 014  tr=1.7292  val_AccPaper=0.5404  val_BalAccMaj=0.5485  win_BalAcc=0.5322  win_f1_macro=0.5302
fold2 ep 015  tr=1.7155  val_AccPaper=0.5415  val_BalAccMaj=0.5467  win_BalAcc=0.5339  win_f1_macro=0.5321
fold2 ep 016  tr=1.7141  val_AccPaper=0.5304  val_BalAccMaj=0.5374  win_BalAcc=0.5247  win_f1_macro=0.5220
fold2 ep 017  tr=1.7072  val_AccPaper=0.5404  val_BalAccMaj=0.5478  win_BalAcc=0.5313  win_f1_macro=0.5277
fold2 ep 018  tr=1.7023  val_AccPaper=0.5411  val_BalAccMaj=0.5456  win_BalAcc=0.5337  win_f1_macro=0.5313
fold2 ep 019  tr=1.6933  val_AccPaper=0.5396  val_BalAccMaj=0.5456  win_BalAcc=0.5328  win_f1_macro=0.5289
fold2 ep 020  tr=1.6852  val_AccPaper=0.5322  val_BalAccMaj=0.5385  win_BalAcc=0.5265  win_f1_macro=0.5236
fold2 ep 021  tr=1.6806  val_AccPaper=0.5367  val_BalAccMaj=0.5433  win_BalAcc=0.5295  win_f1_macro=0.5254
fold2 ep 022  tr=1.6826  val_AccPaper=0.5367  val_BalAccMaj=0.5407  win_BalAcc=0.5282  win_f1_macro=0.5242
fold2 ep 023  tr=1.6780  val_AccPaper=0.5348  val_BalAccMaj=0.5411  win_BalAcc=0.5289  win_f1_macro=0.5263
