start scheme21 arm=J1_tok n_times=1000 t0_max=None two_stage=None inwin=True
fold1 ep 014  tr=1.2533  val_AccPaper=0.6004  val_BalAccMaj=0.6067
fold1 ep 015  tr=1.2509  val_AccPaper=0.5981  val_BalAccMaj=0.6056
fold1 ep 016  tr=1.2462  val_AccPaper=0.5922  val_BalAccMaj=0.5970
fold1 ep 017  tr=1.2420  val_AccPaper=0.5941  val_BalAccMaj=0.5996
fold1 ep 018  tr=1.2386  val_AccPaper=0.5941  val_BalAccMaj=0.6015
fold1 ep 019  tr=1.2330  val_AccPaper=0.5900  val_BalAccMaj=0.5981
fold1 ep 020  tr=1.2312  val_AccPaper=0.6015  val_BalAccMaj=0.6037
fold1 ep 021  tr=1.2261  val_AccPaper=0.5889  val_BalAccMaj=0.5959
fold1 ep 022  tr=1.2250  val_AccPaper=0.5915  val_BalAccMaj=0.5963
fold1 ep 023  tr=1.2220  val_AccPaper=0.5889  val_BalAccMaj=0.5952
fold1 ep 024  tr=1.2201  val_AccPaper=0.5937  val_BalAccMaj=0.5981
fold1 ep 025  tr=1.2160  val_AccPaper=0.6041  val_BalAccMaj=0.6089
fold1 ep 026  tr=1.2142  val_AccPaper=0.5985  val_BalAccMaj=0.6052
fold1 ep 027  tr=1.2133  val_AccPaper=0.5933  val_BalAccMaj=0.6000
fold1 ep 028  tr=1.2108  val_AccPaper=0.6007  val_BalAccMaj=0.6078
fold1 ep 029  tr=1.2032  val_AccPaper=0.5956  val_BalAccMaj=0.6000
fold1 ep 030  tr=1.2056  val_AccPaper=0.6011  val_BalAccMaj=0.6063
fold1 ep 031  tr=1.1985  val_AccPaper=0.5956  val_BalAccMaj=0.6048
fold1 ep 032  tr=1.1983  val_AccPaper=0.5889  val_BalAccMaj=0.5956
fold1 ep 033  tr=1.1964  val_AccPaper=0.5844  val_BalAccMaj=0.5911
fold1 ep 034  tr=1.1911  val_AccPaper=0.6019  val_BalAccMaj=0.6130
fold1 ep 035  tr=1.1931  val_AccPaper=0.5985  val_BalAccMaj=0.6044
fold1 ep 036  tr=1.1888  val_AccPaper=0.5852  val_BalAccMaj=0.5930
fold1 ep 037  tr=1.1860  val_AccPaper=0.5878  val_BalAccMaj=0.5944
fold1 ep 038  tr=1.1861  val_AccPaper=0.5822  val_BalAccMaj=0.5893
fold1 ep 039  tr=1.1797  val_AccPaper=0.5870  val_BalAccMaj=0.5930
fold1 ep 040  tr=1.1830  val_AccPaper=0.5944  val_BalAccMaj=0.5989
fold1 ep 041  tr=1.1800  val_AccPaper=0.6033  val_BalAccMaj=0.6085
fold1 ep 042  tr=1.1774  val_AccPaper=0.5930  val_BalAccMaj=0.6004
fold1 ep 043  tr=1.1755  val_AccPaper=0.5915  val_BalAccMaj=0.5993
fold1 ep 044  tr=1.1732  val_AccPaper=0.5881  val_BalAccMaj=0.5933
fold1 ep 045  tr=1.1727  val_AccPaper=0.5915  val_BalAccMaj=0.5985
fold2 ep 001  tr=1.6168  val_AccPaper=0.5237  val_BalAccMaj=0.5281
fold2 ep 002  tr=1.4054  val_AccPaper=0.5211  val_BalAccMaj=0.5263
fold2 ep 003  tr=1.3371  val_AccPaper=0.5215  val_BalAccMaj=0.5256
fold2 ep 004  tr=1.2993  val_AccPaper=0.5204  val_BalAccMaj=0.5274
fold2 ep 005  tr=1.2770  val_AccPaper=0.5289  val_BalAccMaj=0.5341
fold2 ep 006  tr=1.2649  val_AccPaper=0.5307  val_BalAccMaj=0.5344
fold2 ep 007  tr=1.2530  val_AccPaper=0.5319  val_BalAccMaj=0.5359
fold2 ep 008  tr=1.2430  val_AccPaper=0.5356  val_BalAccMaj=0.5404
fold2 ep 009  tr=1.2370  val_AccPaper=0.5296  val_BalAccMaj=0.5348
fold2 ep 010  tr=1.2306  val_AccPaper=0.5374  val_BalAccMaj=0.5437
fold2 ep 011  tr=1.2252  val_AccPaper=0.5381  val_BalAccMaj=0.5433
fold2 ep 012  tr=1.2233  val_AccPaper=0.5311  val_BalAccMaj=0.5370
fold2 ep 013  tr=1.2179  val_AccPaper=0.5344  val_BalAccMaj=0.5396
fold2 ep 014  tr=1.2144  val_AccPaper=0.5296  val_BalAccMaj=0.5326
fold2 ep 015  tr=1.2103  val_AccPaper=0.5370  val_BalAccMaj=0.5422
fold2 ep 016  tr=1.2060  val_AccPaper=0.5385  val_BalAccMaj=0.5444
fold2 ep 017  tr=1.2044  val_AccPaper=0.5359  val_BalAccMaj=0.5437
fold2 ep 018  tr=1.2035  val_AccPaper=0.5359  val_BalAccMaj=0.5437
fold2 ep 019  tr=1.1992  val_AccPaper=0.5330  val_BalAccMaj=0.5422
fold2 ep 020  tr=1.2005  val_AccPaper=0.5315  val_BalAccMaj=0.5389
fold2 ep 021  tr=1.1931  val_AccPaper=0.5396  val_BalAccMaj=0.5444
fold2 ep 022  tr=1.1920  val_AccPaper=0.5430  val_BalAccMaj=0.5511
fold2 ep 023  tr=1.1896  val_AccPaper=0.5389  val_BalAccMaj=0.5426
fold2 ep 024  tr=1.1839  val_AccPaper=0.5363  val_BalAccMaj=0.5422
fold2 ep 025  tr=1.1805  val_AccPaper=0.5385  val_BalAccMaj=0.5448
fold2 ep 026  tr=1.1791  val_AccPaper=0.5378  val_BalAccMaj=0.5437
fold2 ep 027  tr=1.1762  val_AccPaper=0.5374  val_BalAccMaj=0.5415
fold2 ep 028  tr=1.1757  val_AccPaper=0.5430  val_BalAccMaj=0.5474
fold2 ep 029  tr=1.1701  val_AccPaper=0.5319  val_BalAccMaj=0.5374
fold2 ep 030  tr=1.1686  val_AccPaper=0.5381  val_BalAccMaj=0.5433
fold2 ep 031  tr=1.1664  val_AccPaper=0.5470  val_BalAccMaj=0.5522
fold2 ep 032  tr=1.1635  val_AccPaper=0.5393  val_BalAccMaj=0.5448
