[15:33:02] === S1 cues=1398 train=699 eval=699 ===
[15:34:49] [S1] task fold2 ft_tr=17798 ft_va=4408 eval=22239
[15:34:51] fold2 ep 001 tr=0.3628 va=0.2309 val_AccPaper=0.9214
[15:34:52] fold2 ep 002 tr=0.2361 va=0.2012 val_AccPaper=0.9393
[15:34:54] fold2 ep 003 tr=0.1948 va=0.1766 val_AccPaper=0.9357
[15:34:55] fold2 ep 004 tr=0.1740 va=0.1775 val_AccPaper=0.9286
[15:34:56] fold2 ep 005 tr=0.1519 va=0.1668 val_AccPaper=0.9393
[15:34:58] fold2 ep 006 tr=0.1458 va=0.1598 val_AccPaper=0.9429
[15:34:59] fold2 ep 007 tr=0.1353 va=0.1659 val_AccPaper=0.9429
[15:35:01] fold2 ep 008 tr=0.1304 va=0.1624 val_AccPaper=0.9393
[15:35:02] fold2 ep 009 tr=0.1234 va=0.1734 val_AccPaper=0.9321
[15:35:04] fold2 ep 010 tr=0.1195 va=0.1678 val_AccPaper=0.9357
[15:35:05] fold2 ep 011 tr=0.1150 va=0.1830 val_AccPaper=0.9357
[15:35:07] fold2 ep 012 tr=0.0998 va=0.1560 val_AccPaper=0.9393
[15:35:08] fold2 ep 013 tr=0.1003 va=0.1665 val_AccPaper=0.9429
[15:35:09] fold2 ep 014 tr=0.0972 va=0.1655 val_AccPaper=0.9357
[15:35:11] fold2 ep 015 tr=0.0949 va=0.1637 val_AccPaper=0.9321
[15:35:12] fold2 ep 016 tr=0.0951 va=0.1659 val_AccPaper=0.9357
[15:35:14] fold2 ep 017 tr=0.0878 va=0.1885 val_AccPaper=0.9357
[15:35:15] fold2 ep 018 tr=0.0878 va=0.1819 val_AccPaper=0.9321
[15:35:17] fold2 ep 019 tr=0.0924 va=0.2004 val_AccPaper=0.9321
[15:35:18] fold2 ep 020 tr=0.0841 va=0.1885 val_AccPaper=0.9429
[15:35:19] fold2 ep 021 tr=0.0867 va=0.1795 val_AccPaper=0.9286
[15:35:21] fold2 ep 022 tr=0.0790 va=0.1850 val_AccPaper=0.9214
[15:35:22] fold2 ep 023 tr=0.0853 va=0.1920 val_AccPaper=0.9250
[15:35:24] fold2 ep 024 tr=0.0797 va=0.1891 val_AccPaper=0.9143
[15:35:25] fold2 ep 025 tr=0.0833 va=0.1633 val_AccPaper=0.9357
[15:35:27] fold2 ep 026 tr=0.0736 va=0.1904 val_AccPaper=0.9357
[15:35:27]   early stop @ ep 26
[15:35:29] [S1] task fold3 ft_tr=17798 ft_va=4408 eval=22239
[15:35:30] fold3 ep 001 tr=0.3691 va=0.2429 val_AccPaper=0.9107
[15:35:32] fold3 ep 002 tr=0.2451 va=0.1937 val_AccPaper=0.9357
[15:35:33] fold3 ep 003 tr=0.2027 va=0.1804 val_AccPaper=0.9179
[15:35:35] fold3 ep 004 tr=0.1766 va=0.1709 val_AccPaper=0.9357
[15:35:36] fold3 ep 005 tr=0.1565 va=0.1930 val_AccPaper=0.9214
[15:35:38] fold3 ep 006 tr=0.1508 va=0.1648 val_AccPaper=0.9286
[15:35:39] fold3 ep 007 tr=0.1335 va=0.1547 val_AccPaper=0.9321
[15:35:41] fold3 ep 008 tr=0.1255 va=0.1876 val_AccPaper=0.9393
[15:35:42] fold3 ep 009 tr=0.1245 va=0.1707 val_AccPaper=0.9143
[15:35:44] fold3 ep 010 tr=0.1169 va=0.1683 val_AccPaper=0.9321
[15:35:45] fold3 ep 011 tr=0.1130 va=0.1776 val_AccPaper=0.9357
[15:35:47] fold3 ep 012 tr=0.1095 va=0.1663 val_AccPaper=0.9321
[15:35:48] fold3 ep 013 tr=0.1110 va=0.1621 val_AccPaper=0.9321
[15:35:50] fold3 ep 014 tr=0.1079 va=0.1753 val_AccPaper=0.9250
[15:35:51] fold3 ep 015 tr=0.1042 va=0.1665 val_AccPaper=0.9286
[15:35:53] fold3 ep 016 tr=0.0916 va=0.1625 val_AccPaper=0.9393
[15:35:55] fold3 ep 017 tr=0.0937 va=0.1728 val_AccPaper=0.9357
[15:35:56] fold3 ep 018 tr=0.0930 va=0.1698 val_AccPaper=0.9321
[15:35:58] fold3 ep 019 tr=0.0890 va=0.1735 val_AccPaper=0.9321
[15:35:59] fold3 ep 020 tr=0.0892 va=0.1799 val_AccPaper=0.9357
[15:36:00] fold3 ep 021 tr=0.0872 va=0.1821 val_AccPaper=0.9250
[15:36:02] fold3 ep 022 tr=0.0910 va=0.1738 val_AccPaper=0.9357
[15:36:03] fold3 ep 023 tr=0.0881 va=0.1666 val_AccPaper=0.9357
[15:36:05] fold3 ep 024 tr=0.0797 va=0.1613 val_AccPaper=0.9464
[15:36:06] fold3 ep 025 tr=0.0825 va=0.1752 val_AccPaper=0.9429
[15:36:08] fold3 ep 026 tr=0.0842 va=0.2150 val_AccPaper=0.9357
[15:36:09] fold3 ep 027 tr=0.0815 va=0.1867 val_AccPaper=0.9393
[15:36:11] fold3 ep 028 tr=0.0804 va=0.1765 val_AccPaper=0.9321
[15:36:12] fold3 ep 029 tr=0.0809 va=0.1786 val_AccPaper=0.9357
[15:36:14] fold3 ep 030 tr=0.0801 va=0.1833 val_AccPaper=0.9536
[15:36:15] fold3 ep 031 tr=0.0800 va=0.1803 val_AccPaper=0.9357
[15:36:17] fold3 ep 032 tr=0.0718 va=0.1680 val_AccPaper=0.9429
[15:36:18] fold3 ep 033 tr=0.0815 va=0.1943 val_AccPaper=0.9357
[15:36:20] fold3 ep 034 tr=0.0770 va=0.2130 val_AccPaper=0.9393
[15:36:21] fold3 ep 035 tr=0.0734 va=0.1912 val_AccPaper=0.9393
[15:36:23] fold3 ep 036 tr=0.0697 va=0.1994 val_AccPaper=0.9214
[15:36:24] fold3 ep 037 tr=0.0753 va=0.1777 val_AccPaper=0.9393
[15:36:26] fold3 ep 038 tr=0.0716 va=0.1903 val_AccPaper=0.9393
[15:36:27] fold3 ep 039 tr=0.0706 va=0.2058 val_AccPaper=0.9286
[15:36:29] fold3 ep 040 tr=0.0678 va=0.2105 val_AccPaper=0.9250
