lsl_time,C3,C4,CZ,CP3,CP4,CPZ,FC3,FC4
313232.975572907,187.96519470214844,-220.78744506835938,-214.1622314453125,-350.4057922363281,134.81419372558594,276.16815185546875,137.77882385253906,-491.7752380371094
313232.97957290703,189.67031860351562,-219.37057495117188,-212.55502319335938,-348.572265625,136.15762329101562,277.8148498535156,139.3815460205078,-490.32989501953125
313232.983572907,191.66873168945312,-217.4521026611328,-210.4906768798828,-346.3480224609375,138.0885772705078,279.7957458496094,141.45338439941406,-488.3749694824219
313232.987572907,191.66123962402344,-217.216796875,-210.42422485351562,-346.3035583496094,138.1265411376953,279.6793518066406,141.52333068847656,-488.1236572265625
313232.991572907,190.02154541015625,-218.9873809814453,-212.1288604736328,-348.1036376953125,136.5303192138672,277.9557189941406,139.85716247558594,-489.7518615722656
313232.995572907,188.54122924804688,-220.75796508789062,-213.83949279785156,-349.9231872558594,134.9315948486328,276.2945556640625,138.28091430664062,-491.5089416503906
313232.999572907,189.82220458984375,-219.68731689453125,-212.7178955078125,-348.6821594238281,136.14862060546875,277.8742980957031,139.4894561767578,-490.6881103515625
313233.003572907,191.8865509033203,-217.55552673339844,-210.65403747558594,-346.5428771972656,138.1735076904297,280.07403564453125,141.55979919433594,-488.74267578125
313233.007572907,191.65623474121094,-217.6834259033203,-210.80142211914062,-346.7317199707031,138.091064453125,279.8976745605469,141.3539581298828,-488.82708740234375
313233.01157290704,190.28982543945312,-219.0628204345703,-212.1758270263672,-348.1580810546875,136.94398498535156,278.73260498046875,139.91111755371094,-490.1590270996094
313233.015572907,188.55621337890625,-220.93032836914062,-213.93492126464844,-349.9851379394531,135.2213592529297,276.99298095703125,138.12554931640625,-491.87115478515625
313233.019572907,190.06350708007812,-219.43551635742188,-212.43312072753906,-348.4103698730469,136.51683044433594,278.3958740234375,139.6877899169922,-490.5112609863281
313233.023572907,192.3391876220703,-217.098388671875,-210.21240234375,-346.20263671875,138.71408081054688,280.5576477050781,142.02542114257812,-488.35296630859375
313233.02757290704,192.07040405273438,-217.56402587890625,-210.58360290527344,-346.6742858886719,138.414306640625,280.1859436035156,141.84107971191406,-488.6902160644531
313233.031572907,190.25335693359375,-219.4604949951172,-212.46859741210938,-348.670166015625,136.6662139892578,278.3139343261719,140.03701782226562,-490.5232238769531
313233.035572907,188.81851196289062,-220.67453002929688,-213.91244506835938,-350.1979675292969,135.27333068847656,276.882568359375,138.49925231933594,-491.9151306152344
313233.03957290703,190.21238708496094,-219.41903686523438,-212.55502319335938,-348.69964599609375,136.4174041748047,278.1895446777344,139.8491668701172,-490.6766052246094
313233.04357290705,192.1668243408203,-217.44061279296875,-210.5651092529297,-346.643310546875,138.20298767089844,279.9726257324219,141.89053344726562,-488.7071838378906
313233.047572907,191.89854431152344,-217.60049438476562,-210.7224884033203,-346.8056640625,138.26742553710938,280.09552001953125,141.668212890625,-488.8550720214844
313233.051572907,190.12196350097656,-219.31661987304688,-212.4411163330078,-348.58673095703125,136.7191619873047,278.4753112792969,139.88363647460938,-490.49127197265625
313233.05557290703,188.55621337890625,-221.02325439453125,-214.11827087402344,-350.32586669921875,135.3052978515625,277.0924072265625,138.23745727539062,-492.2148742675781
313233.05957290705,189.93511962890625,-219.94261169433594,-212.90274047851562,-348.91796875,136.4333953857422,278.4268493652344,139.51992797851562,-491.25067138671875
313233.063572907,192.1493377685547,-217.4251251220703,-210.63905334472656,-346.558349609375,138.57568359375,280.54266357421875,141.7596435546875,-488.9230041503906
313233.067572907,191.82859802246094,-217.82730102539062,-211.02474975585938,-347.0005187988281,138.29840087890625,280.27386474609375,141.4763641357422,-489.2677307128906
313233.07157290704,190.1609344482422,-219.74127197265625,-212.76785278320312,-348.8190612792969,136.560302734375,278.46533203125,139.80270385742188,-490.90045166015625
313233.07557290705,188.57620239257812,-221.3025360107422,-214.3236083984375,-350.47772216796875,134.95457458496094,276.6872253417969,138.17001342773438,-492.3817443847656
313233.079572907,190.02354431152344,-219.52444458007812,-212.6784210205078,-348.74310302734375,136.22357177734375,277.89227294921875,139.6263427734375,-490.6681213378906
313233.083572907,191.96798706054688,-217.44561767578125,-210.57859802246094,-346.4534606933594,138.0725860595703,279.9041748046875,141.59176635742188,-488.5403137207031
