start scheme21 arm=F_mi_a n_times=1000 t0_max=1.0 two_stage=None inwin=None
fold1 ep 025  tr=0.8760  val_AccPaper=0.5815  val_BalAccMaj=0.5826
fold1 ep 026  tr=0.8736  val_AccPaper=0.5830  val_BalAccMaj=0.5856
fold1 ep 027  tr=0.8744  val_AccPaper=0.5878  val_BalAccMaj=0.5881
fold1 ep 028  tr=0.8706  val_AccPaper=0.5789  val_BalAccMaj=0.5796
fold1 ep 029  tr=0.8679  val_AccPaper=0.5811  val_BalAccMaj=0.5822
fold1 ep 030  tr=0.8652  val_AccPaper=0.5807  val_BalAccMaj=0.5822
fold1 ep 031  tr=0.8627  val_AccPaper=0.5770  val_BalAccMaj=0.5774
fold2 ep 001  tr=1.1861  val_AccPaper=0.4956  val_BalAccMaj=0.4963
fold2 ep 002  tr=1.0475  val_AccPaper=0.5281  val_BalAccMaj=0.5300
fold2 ep 003  tr=0.9781  val_AccPaper=0.5330  val_BalAccMaj=0.5333
fold2 ep 004  tr=0.9428  val_AccPaper=0.5389  val_BalAccMaj=0.5396
fold2 ep 005  tr=0.9149  val_AccPaper=0.5337  val_BalAccMaj=0.5348
fold2 ep 006  tr=0.9027  val_AccPaper=0.5389  val_BalAccMaj=0.5407
fold2 ep 007  tr=0.8917  val_AccPaper=0.5278  val_BalAccMaj=0.5281
fold2 ep 008  tr=0.8816  val_AccPaper=0.5244  val_BalAccMaj=0.5252
fold2 ep 009  tr=0.8764  val_AccPaper=0.5315  val_BalAccMaj=0.5319
fold2 ep 010  tr=0.8730  val_AccPaper=0.5315  val_BalAccMaj=0.5337
fold2 ep 011  tr=0.8592  val_AccPaper=0.5311  val_BalAccMaj=0.5330
fold2 ep 012  tr=0.8637  val_AccPaper=0.5167  val_BalAccMaj=0.5174
fold2 ep 013  tr=0.8548  val_AccPaper=0.5330  val_BalAccMaj=0.5333
fold2 ep 014  tr=0.8530  val_AccPaper=0.5344  val_BalAccMaj=0.5344
fold2 ep 015  tr=0.8500  val_AccPaper=0.5148  val_BalAccMaj=0.5159
fold2 ep 016  tr=0.8501  val_AccPaper=0.5270  val_BalAccMaj=0.5274
fold2 ep 017  tr=0.8425  val_AccPaper=0.5356  val_BalAccMaj=0.5363
fold2 ep 018  tr=0.8370  val_AccPaper=0.5293  val_BalAccMaj=0.5300
fold2 ep 019  tr=0.8349  val_AccPaper=0.5233  val_BalAccMaj=0.5237
fold2 ep 020  tr=0.8364  val_AccPaper=0.5285  val_BalAccMaj=0.5289
fold2 ep 021  tr=0.8320  val_AccPaper=0.5244  val_BalAccMaj=0.5244
fold2 ep 022  tr=0.8368  val_AccPaper=0.5256  val_BalAccMaj=0.5259
fold2 ep 023  tr=0.8267  val_AccPaper=0.5274  val_BalAccMaj=0.5293
fold2 ep 024  tr=0.8245  val_AccPaper=0.5267  val_BalAccMaj=0.5278
fold3 ep 001  tr=1.2169  val_AccPaper=0.5281  val_BalAccMaj=0.5289
fold3 ep 002  tr=1.1075  val_AccPaper=0.5733  val_BalAccMaj=0.5737
fold3 ep 003  tr=1.0458  val_AccPaper=0.5922  val_BalAccMaj=0.5930
fold3 ep 004  tr=1.0023  val_AccPaper=0.6026  val_BalAccMaj=0.6041
fold3 ep 005  tr=0.9835  val_AccPaper=0.6100  val_BalAccMaj=0.6107
fold3 ep 006  tr=0.9620  val_AccPaper=0.6107  val_BalAccMaj=0.6115
fold3 ep 007  tr=0.9515  val_AccPaper=0.6156  val_BalAccMaj=0.6163
fold3 ep 008  tr=0.9422  val_AccPaper=0.6056  val_BalAccMaj=0.6063
fold3 ep 009  tr=0.9373  val_AccPaper=0.6189  val_BalAccMaj=0.6196
fold3 ep 010  tr=0.9241  val_AccPaper=0.6107  val_BalAccMaj=0.6115
fold3 ep 011  tr=0.9186  val_AccPaper=0.6107  val_BalAccMaj=0.6111
fold3 ep 012  tr=0.9136  val_AccPaper=0.6137  val_BalAccMaj=0.6141
fold3 ep 013  tr=0.9045  val_AccPaper=0.6133  val_BalAccMaj=0.6137
fold3 ep 014  tr=0.9094  val_AccPaper=0.6111  val_BalAccMaj=0.6115
fold3 ep 015  tr=0.9041  val_AccPaper=0.6137  val_BalAccMaj=0.6152
fold3 ep 016  tr=0.9000  val_AccPaper=0.6207  val_BalAccMaj=0.6230
fold3 ep 017  tr=0.8935  val_AccPaper=0.6159  val_BalAccMaj=0.6167
fold3 ep 018  tr=0.8937  val_AccPaper=0.6104  val_BalAccMaj=0.6104
fold3 ep 019  tr=0.8959  val_AccPaper=0.6174  val_BalAccMaj=0.6178
fold3 ep 020  tr=0.8892  val_AccPaper=0.6048  val_BalAccMaj=0.6063
fold3 ep 021  tr=0.8820  val_AccPaper=0.6152  val_BalAccMaj=0.6181
fold3 ep 022  tr=0.8853  val_AccPaper=0.6144  val_BalAccMaj=0.6159
fold3 ep 023  tr=0.8835  val_AccPaper=0.5981  val_BalAccMaj=0.6000
fold3 ep 024  tr=0.8829  val_AccPaper=0.6115  val_BalAccMaj=0.6119
fold3 ep 025  tr=0.8772  val_AccPaper=0.6207  val_BalAccMaj=0.6215
fold3 ep 026  tr=0.8728  val_AccPaper=0.6152  val_BalAccMaj=0.6163
fold3 ep 027  tr=0.8773  val_AccPaper=0.6144  val_BalAccMaj=0.6167
fold3 ep 028  tr=0.8716  val_AccPaper=0.6167  val_BalAccMaj=0.6170
fold3 ep 029  tr=0.8725  val_AccPaper=0.6137  val_BalAccMaj=0.6144
fold3 ep 030  tr=0.8712  val_AccPaper=0.6074  val_BalAccMaj=0.6078
fold3 ep 031  tr=0.8696  val_AccPaper=0.6004  val_BalAccMaj=0.6011
fold3 ep 032  tr=0.8651  val_AccPaper=0.6115  val_BalAccMaj=0.6115
fold3 ep 033  tr=0.8659  val_AccPaper=0.6122  val_BalAccMaj=0.6130
fold3 ep 034  tr=0.8677  val_AccPaper=0.6115  val_BalAccMaj=0.6115
fold3 ep 035  tr=0.8604  val_AccPaper=0.6144  val_BalAccMaj=0.6159
fold3 ep 036  tr=0.8626  val_AccPaper=0.6159  val_BalAccMaj=0.6167
fold4 ep 001  tr=1.1917  val_AccPaper=0.5130  val_BalAccMaj=0.5133
fold4 ep 002  tr=1.0641  val_AccPaper=0.5237  val_BalAccMaj=0.5241
fold4 ep 003  tr=0.9943  val_AccPaper=0.5078  val_BalAccMaj=0.5081
fold4 ep 004  tr=0.9603  val_AccPaper=0.4944  val_BalAccMaj=0.4952
fold4 ep 005  tr=0.9329  val_AccPaper=0.5007  val_BalAccMaj=0.5022
fold4 ep 006  tr=0.9143  val_AccPaper=0.4967  val_BalAccMaj=0.4978
fold4 ep 007  tr=0.9028  val_AccPaper=0.5115  val_BalAccMaj=0.5115
fold4 ep 008  tr=0.8914  val_AccPaper=0.4970  val_BalAccMaj=0.4981
fold4 ep 009  tr=0.8858  val_AccPaper=0.5044  val_BalAccMaj=0.5048
fold4 ep 010  tr=0.8784  val_AccPaper=0.4870  val_BalAccMaj=0.4881
fold4 ep 011  tr=0.8734  val_AccPaper=0.4993  val_BalAccMaj=0.4996
fold4 ep 012  tr=0.8693  val_AccPaper=0.5130  val_BalAccMaj=0.5141
fold4 ep 013  tr=0.8659  val_AccPaper=0.5030  val_BalAccMaj=0.5041
fold4 ep 014  tr=0.8631  val_AccPaper=0.5100  val_BalAccMaj=0.5115
fold4 ep 015  tr=0.8571  val_AccPaper=0.5119  val_BalAccMaj=0.5137
fold4 ep 016  tr=0.8550  val_AccPaper=0.5085  val_BalAccMaj=0.5096
fold4 ep 017  tr=0.8522  val_AccPaper=0.5207  val_BalAccMaj=0.5215
fold4 ep 018  tr=0.8481  val_AccPaper=0.5063  val_BalAccMaj=0.5074
fold4 ep 019  tr=0.8449  val_AccPaper=0.5030  val_BalAccMaj=0.5033
fold4 ep 020  tr=0.8440  val_AccPaper=0.5107  val_BalAccMaj=0.5111
fold4 ep 021  tr=0.8436  val_AccPaper=0.5100  val_BalAccMaj=0.5115
fold4 ep 022  tr=0.8416  val_AccPaper=0.5056  val_BalAccMaj=0.5067
