start arm=B1 device=cuda n_classes=3 y_counts={0: 91800, 1: 91800, 2: 91800} pf_protocol_version=3 no_rest=False
[B1] §3.2.1 future-perturb ratio=122.557
fold0 ep 001  tr=1.8941  val_AccPaper=0.5293  val_BalAccMaj=0.5352  win_BalAcc=0.5265  win_f1_macro=0.5235
fold0 ep 002  tr=1.6462  val_AccPaper=0.5456  val_BalAccMaj=0.5500  win_BalAcc=0.5431  win_f1_macro=0.5436
fold0 ep 003  tr=1.5936  val_AccPaper=0.5474  val_BalAccMaj=0.5489  win_BalAcc=0.5446  win_f1_macro=0.5448
fold0 ep 004  tr=1.5760  val_AccPaper=0.5444  val_BalAccMaj=0.5493  win_BalAcc=0.5445  win_f1_macro=0.5446
fold0 ep 005  tr=1.5514  val_AccPaper=0.5578  val_BalAccMaj=0.5637  win_BalAcc=0.5501  win_f1_macro=0.5496
fold0 ep 006  tr=1.5314  val_AccPaper=0.5578  val_BalAccMaj=0.5615  win_BalAcc=0.5505  win_f1_macro=0.5490
fold0 ep 007  tr=1.5177  val_AccPaper=0.5559  val_BalAccMaj=0.5626  win_BalAcc=0.5511  win_f1_macro=0.5506
fold0 ep 008  tr=1.5179  val_AccPaper=0.5726  val_BalAccMaj=0.5763  win_BalAcc=0.5598  win_f1_macro=0.5595
fold0 ep 009  tr=1.5074  val_AccPaper=0.5607  val_BalAccMaj=0.5663  win_BalAcc=0.5538  win_f1_macro=0.5536
fold0 ep 010  tr=1.4982  val_AccPaper=0.5619  val_BalAccMaj=0.5663  win_BalAcc=0.5536  win_f1_macro=0.5539
fold0 ep 011  tr=1.4938  val_AccPaper=0.5619  val_BalAccMaj=0.5681  win_BalAcc=0.5555  win_f1_macro=0.5550
fold0 ep 012  tr=1.4818  val_AccPaper=0.5596  val_BalAccMaj=0.5656  win_BalAcc=0.5538  win_f1_macro=0.5525
fold0 ep 013  tr=1.4833  val_AccPaper=0.5615  val_BalAccMaj=0.5659  win_BalAcc=0.5551  win_f1_macro=0.5552
fold0 ep 014  tr=1.4759  val_AccPaper=0.5600  val_BalAccMaj=0.5652  win_BalAcc=0.5541  win_f1_macro=0.5539
fold0 ep 015  tr=1.4674  val_AccPaper=0.5641  val_BalAccMaj=0.5704  win_BalAcc=0.5540  win_f1_macro=0.5518
fold0 ep 016  tr=1.4607  val_AccPaper=0.5648  val_BalAccMaj=0.5693  win_BalAcc=0.5570  win_f1_macro=0.5572
fold0 ep 017  tr=1.4572  val_AccPaper=0.5711  val_BalAccMaj=0.5789  win_BalAcc=0.5615  win_f1_macro=0.5616
fold0 ep 018  tr=1.4521  val_AccPaper=0.5644  val_BalAccMaj=0.5733  win_BalAcc=0.5557  win_f1_macro=0.5558
fold0 ep 019  tr=1.4449  val_AccPaper=0.5648  val_BalAccMaj=0.5689  win_BalAcc=0.5593  win_f1_macro=0.5597
fold0 ep 020  tr=1.4416  val_AccPaper=0.5589  val_BalAccMaj=0.5648  win_BalAcc=0.5580  win_f1_macro=0.5571
fold0 ep 021  tr=1.4382  val_AccPaper=0.5607  val_BalAccMaj=0.5659  win_BalAcc=0.5544  win_f1_macro=0.5536
fold0 ep 022  tr=1.4313  val_AccPaper=0.5678  val_BalAccMaj=0.5733  win_BalAcc=0.5592  win_f1_macro=0.5593
fold0 ep 023  tr=1.4281  val_AccPaper=0.5637  val_BalAccMaj=0.5681  win_BalAcc=0.5542  win_f1_macro=0.5533
fold0 ep 024  tr=1.4218  val_AccPaper=0.5652  val_BalAccMaj=0.5741  win_BalAcc=0.5605  win_f1_macro=0.5606
fold0 ep 025  tr=1.4171  val_AccPaper=0.5659  val_BalAccMaj=0.5719  win_BalAcc=0.5538  win_f1_macro=0.5524
fold0 ep 026  tr=1.4103  val_AccPaper=0.5652  val_BalAccMaj=0.5707  win_BalAcc=0.5583  win_f1_macro=0.5585
fold0 ep 027  tr=1.4090  val_AccPaper=0.5726  val_BalAccMaj=0.5774  win_BalAcc=0.5619  win_f1_macro=0.5617
fold0 ep 028  tr=1.4041  val_AccPaper=0.5622  val_BalAccMaj=0.5693  win_BalAcc=0.5563  win_f1_macro=0.5552
fold0 early stop @ ep 28
fold1 ep 001  tr=1.9494  val_AccPaper=0.5237  val_BalAccMaj=0.5270  win_BalAcc=0.5247  win_f1_macro=0.5127
fold1 ep 002  tr=1.7499  val_AccPaper=0.5630  val_BalAccMaj=0.5681  win_BalAcc=0.5546  win_f1_macro=0.5519
fold1 ep 003  tr=1.6903  val_AccPaper=0.5641  val_BalAccMaj=0.5693  win_BalAcc=0.5608  win_f1_macro=0.5595
fold1 ep 004  tr=1.6566  val_AccPaper=0.5648  val_BalAccMaj=0.5696  win_BalAcc=0.5600  win_f1_macro=0.5588
fold1 ep 005  tr=1.6361  val_AccPaper=0.5556  val_BalAccMaj=0.5652  win_BalAcc=0.5486  win_f1_macro=0.5444
fold1 ep 006  tr=1.6131  val_AccPaper=0.5496  val_BalAccMaj=0.5563  win_BalAcc=0.5525  win_f1_macro=0.5489
fold1 ep 007  tr=1.6093  val_AccPaper=0.5522  val_BalAccMaj=0.5604  win_BalAcc=0.5517  win_f1_macro=0.5475
fold1 ep 008  tr=1.5972  val_AccPaper=0.5407  val_BalAccMaj=0.5470  win_BalAcc=0.5427  win_f1_macro=0.5400
fold1 ep 009  tr=1.5823  val_AccPaper=0.5526  val_BalAccMaj=0.5611  win_BalAcc=0.5513  win_f1_macro=0.5480
fold1 ep 010  tr=1.5782  val_AccPaper=0.5652  val_BalAccMaj=0.5730  win_BalAcc=0.5614  win_f1_macro=0.5587
fold1 ep 011  tr=1.5767  val_AccPaper=0.5544  val_BalAccMaj=0.5641  win_BalAcc=0.5519  win_f1_macro=0.5481
fold1 ep 012  tr=1.5696  val_AccPaper=0.5548  val_BalAccMaj=0.5626  win_BalAcc=0.5535  win_f1_macro=0.5515
fold1 ep 013  tr=1.5598  val_AccPaper=0.5556  val_BalAccMaj=0.5626  win_BalAcc=0.5549  win_f1_macro=0.5509
fold1 ep 014  tr=1.5502  val_AccPaper=0.5619  val_BalAccMaj=0.5689  win_BalAcc=0.5531  win_f1_macro=0.5499
fold1 ep 015  tr=1.5475  val_AccPaper=0.5574  val_BalAccMaj=0.5659  win_BalAcc=0.5568  win_f1_macro=0.5546
fold1 ep 016  tr=1.5445  val_AccPaper=0.5556  val_BalAccMaj=0.5600  win_BalAcc=0.5524  win_f1_macro=0.5507
fold1 ep 017  tr=1.5358  val_AccPaper=0.5515  val_BalAccMaj=0.5593  win_BalAcc=0.5495  win_f1_macro=0.5459
fold1 ep 018  tr=1.5320  val_AccPaper=0.5519  val_BalAccMaj=0.5596  win_BalAcc=0.5507  win_f1_macro=0.5496
fold1 ep 019  tr=1.5261  val_AccPaper=0.5559  val_BalAccMaj=0.5641  win_BalAcc=0.5572  win_f1_macro=0.5559
fold1 ep 020  tr=1.5221  val_AccPaper=0.5574  val_BalAccMaj=0.5656  win_BalAcc=0.5558  win_f1_macro=0.5547
fold1 ep 021  tr=1.5207  val_AccPaper=0.5585  val_BalAccMaj=0.5663  win_BalAcc=0.5565  win_f1_macro=0.5536
fold1 ep 022  tr=1.5205  val_AccPaper=0.5493  val_BalAccMaj=0.5544  win_BalAcc=0.5462  win_f1_macro=0.5439
fold1 ep 023  tr=1.5138  val_AccPaper=0.5611  val_BalAccMaj=0.5678  win_BalAcc=0.5592  win_f1_macro=0.5577
fold1 ep 024  tr=1.5081  val_AccPaper=0.5615  val_BalAccMaj=0.5674  win_BalAcc=0.5581  win_f1_macro=0.5572
fold1 ep 025  tr=1.5020  val_AccPaper=0.5741  val_BalAccMaj=0.5830  win_BalAcc=0.5713  win_f1_macro=0.5709
fold1 ep 026  tr=1.4983  val_AccPaper=0.5611  val_BalAccMaj=0.5681  win_BalAcc=0.5552  win_f1_macro=0.5530
fold1 ep 027  tr=1.5016  val_AccPaper=0.5593  val_BalAccMaj=0.5685  win_BalAcc=0.5540  win_f1_macro=0.5504
fold1 ep 028  tr=1.4942  val_AccPaper=0.5574  val_BalAccMaj=0.5637  win_BalAcc=0.5535  win_f1_macro=0.5510
fold1 ep 029  tr=1.4932  val_AccPaper=0.5663  val_BalAccMaj=0.5744  win_BalAcc=0.5593  win_f1_macro=0.5587
fold1 ep 030  tr=1.4820  val_AccPaper=0.5607  val_BalAccMaj=0.5674  win_BalAcc=0.5563  win_f1_macro=0.5539
fold1 ep 031  tr=1.4858  val_AccPaper=0.5619  val_BalAccMaj=0.5715  win_BalAcc=0.5591  win_f1_macro=0.5553
fold1 ep 032  tr=1.4746  val_AccPaper=0.5574  val_BalAccMaj=0.5622  win_BalAcc=0.5562  win_f1_macro=0.5536
fold1 ep 033  tr=1.4765  val_AccPaper=0.5641  val_BalAccMaj=0.5730  win_BalAcc=0.5598  win_f1_macro=0.5581
fold1 ep 034  tr=1.4749  val_AccPaper=0.5615  val_BalAccMaj=0.5715  win_BalAcc=0.5560  win_f1_macro=0.5542
fold1 ep 035  tr=1.4668  val_AccPaper=0.5644  val_BalAccMaj=0.5715  win_BalAcc=0.5579  win_f1_macro=0.5569
