start arm=B4 device=cuda n_classes=3 y_counts={0: 91800, 1: 91800, 2: 91800} pf_protocol_version=3 no_rest=False
[B4] §3.2.1 future-perturb ratio=113.959
fold0 ep 001  tr=1.1287  val_AccPaper=0.5226  val_BalAccMaj=0.5256  win_BalAcc=0.5143  win_f1_macro=0.5080
fold0 ep 002  tr=0.9846  val_AccPaper=0.5404  val_BalAccMaj=0.5433  win_BalAcc=0.5352  win_f1_macro=0.5323
fold0 ep 003  tr=0.9398  val_AccPaper=0.5552  val_BalAccMaj=0.5589  win_BalAcc=0.5472  win_f1_macro=0.5460
fold0 ep 004  tr=0.9206  val_AccPaper=0.5589  val_BalAccMaj=0.5648  win_BalAcc=0.5522  win_f1_macro=0.5531
fold0 ep 005  tr=0.9002  val_AccPaper=0.5637  val_BalAccMaj=0.5681  win_BalAcc=0.5575  win_f1_macro=0.5579
fold0 ep 006  tr=0.8916  val_AccPaper=0.5544  val_BalAccMaj=0.5593  win_BalAcc=0.5553  win_f1_macro=0.5560
fold0 ep 007  tr=0.8840  val_AccPaper=0.5663  val_BalAccMaj=0.5704  win_BalAcc=0.5562  win_f1_macro=0.5565
fold0 ep 008  tr=0.8783  val_AccPaper=0.5637  val_BalAccMaj=0.5681  win_BalAcc=0.5571  win_f1_macro=0.5581
fold0 ep 009  tr=0.8717  val_AccPaper=0.5689  val_BalAccMaj=0.5722  win_BalAcc=0.5605  win_f1_macro=0.5617
fold0 ep 010  tr=0.8683  val_AccPaper=0.5685  val_BalAccMaj=0.5737  win_BalAcc=0.5582  win_f1_macro=0.5593
fold0 ep 011  tr=0.8617  val_AccPaper=0.5648  val_BalAccMaj=0.5711  win_BalAcc=0.5603  win_f1_macro=0.5612
fold0 ep 012  tr=0.8594  val_AccPaper=0.5644  val_BalAccMaj=0.5696  win_BalAcc=0.5608  win_f1_macro=0.5620
fold0 ep 013  tr=0.8553  val_AccPaper=0.5670  val_BalAccMaj=0.5719  win_BalAcc=0.5633  win_f1_macro=0.5644
fold0 ep 014  tr=0.8569  val_AccPaper=0.5681  val_BalAccMaj=0.5737  win_BalAcc=0.5610  win_f1_macro=0.5618
fold0 ep 015  tr=0.8513  val_AccPaper=0.5667  val_BalAccMaj=0.5707  win_BalAcc=0.5617  win_f1_macro=0.5625
fold0 ep 016  tr=0.8483  val_AccPaper=0.5652  val_BalAccMaj=0.5711  win_BalAcc=0.5613  win_f1_macro=0.5625
fold0 ep 017  tr=0.8443  val_AccPaper=0.5626  val_BalAccMaj=0.5689  win_BalAcc=0.5585  win_f1_macro=0.5592
fold0 ep 018  tr=0.8442  val_AccPaper=0.5630  val_BalAccMaj=0.5678  win_BalAcc=0.5589  win_f1_macro=0.5598
fold0 ep 019  tr=0.8397  val_AccPaper=0.5619  val_BalAccMaj=0.5681  win_BalAcc=0.5578  win_f1_macro=0.5579
fold0 ep 020  tr=0.8385  val_AccPaper=0.5659  val_BalAccMaj=0.5730  win_BalAcc=0.5600  win_f1_macro=0.5611
fold0 ep 021  tr=0.8357  val_AccPaper=0.5689  val_BalAccMaj=0.5733  win_BalAcc=0.5625  win_f1_macro=0.5625
fold0 ep 022  tr=0.8331  val_AccPaper=0.5615  val_BalAccMaj=0.5667  win_BalAcc=0.5588  win_f1_macro=0.5586
fold0 ep 023  tr=0.8310  val_AccPaper=0.5644  val_BalAccMaj=0.5689  win_BalAcc=0.5586  win_f1_macro=0.5585
fold0 ep 024  tr=0.8298  val_AccPaper=0.5596  val_BalAccMaj=0.5637  win_BalAcc=0.5558  win_f1_macro=0.5558
fold0 ep 025  tr=0.8289  val_AccPaper=0.5711  val_BalAccMaj=0.5752  win_BalAcc=0.5642  win_f1_macro=0.5647
fold0 ep 026  tr=0.8287  val_AccPaper=0.5674  val_BalAccMaj=0.5730  win_BalAcc=0.5598  win_f1_macro=0.5602
fold0 ep 027  tr=0.8280  val_AccPaper=0.5663  val_BalAccMaj=0.5741  win_BalAcc=0.5607  win_f1_macro=0.5615
fold0 ep 028  tr=0.8233  val_AccPaper=0.5619  val_BalAccMaj=0.5670  win_BalAcc=0.5583  win_f1_macro=0.5594
fold0 ep 029  tr=0.8223  val_AccPaper=0.5648  val_BalAccMaj=0.5681  win_BalAcc=0.5575  win_f1_macro=0.5582
fold0 ep 030  tr=0.8192  val_AccPaper=0.5611  val_BalAccMaj=0.5681  win_BalAcc=0.5592  win_f1_macro=0.5597
fold0 ep 031  tr=0.8189  val_AccPaper=0.5667  val_BalAccMaj=0.5711  win_BalAcc=0.5608  win_f1_macro=0.5612
fold0 ep 032  tr=0.8158  val_AccPaper=0.5630  val_BalAccMaj=0.5681  win_BalAcc=0.5573  win_f1_macro=0.5578
fold0 ep 033  tr=0.8152  val_AccPaper=0.5678  val_BalAccMaj=0.5733  win_BalAcc=0.5597  win_f1_macro=0.5610
fold0 ep 034  tr=0.8128  val_AccPaper=0.5585  val_BalAccMaj=0.5626  win_BalAcc=0.5558  win_f1_macro=0.5561
fold0 ep 035  tr=0.8096  val_AccPaper=0.5611  val_BalAccMaj=0.5678  win_BalAcc=0.5589  win_f1_macro=0.5597
fold0 ep 036  tr=0.8102  val_AccPaper=0.5570  val_BalAccMaj=0.5622  win_BalAcc=0.5566  win_f1_macro=0.5570
fold0 ep 037  tr=0.8085  val_AccPaper=0.5533  val_BalAccMaj=0.5585  win_BalAcc=0.5526  win_f1_macro=0.5532
fold0 ep 038  tr=0.8041  val_AccPaper=0.5574  val_BalAccMaj=0.5637  win_BalAcc=0.5553  win_f1_macro=0.5557
fold0 ep 039  tr=0.8006  val_AccPaper=0.5507  val_BalAccMaj=0.5548  win_BalAcc=0.5527  win_f1_macro=0.5530
fold0 ep 040  tr=0.8004  val_AccPaper=0.5533  val_BalAccMaj=0.5589  win_BalAcc=0.5528  win_f1_macro=0.5529
fold0 ep 041  tr=0.8000  val_AccPaper=0.5585  val_BalAccMaj=0.5659  win_BalAcc=0.5578  win_f1_macro=0.5581
fold0 ep 042  tr=0.7959  val_AccPaper=0.5581  val_BalAccMaj=0.5641  win_BalAcc=0.5553  win_f1_macro=0.5550
fold0 ep 043  tr=0.7960  val_AccPaper=0.5515  val_BalAccMaj=0.5570  win_BalAcc=0.5516  win_f1_macro=0.5519
fold0 ep 044  tr=0.7964  val_AccPaper=0.5526  val_BalAccMaj=0.5574  win_BalAcc=0.5519  win_f1_macro=0.5526
fold0 ep 045  tr=0.7923  val_AccPaper=0.5526  val_BalAccMaj=0.5585  win_BalAcc=0.5520  win_f1_macro=0.5522
fold0 early stop @ ep 45
fold1 ep 001  tr=1.1572  val_AccPaper=0.5515  val_BalAccMaj=0.5567  win_BalAcc=0.5487  win_f1_macro=0.5419
fold1 ep 002  tr=1.0302  val_AccPaper=0.5437  val_BalAccMaj=0.5470  win_BalAcc=0.5399  win_f1_macro=0.5285
fold1 ep 003  tr=0.9852  val_AccPaper=0.5244  val_BalAccMaj=0.5281  win_BalAcc=0.5299  win_f1_macro=0.5178
fold1 ep 004  tr=0.9640  val_AccPaper=0.5689  val_BalAccMaj=0.5744  win_BalAcc=0.5620  win_f1_macro=0.5594
fold1 ep 005  tr=0.9502  val_AccPaper=0.5619  val_BalAccMaj=0.5674  win_BalAcc=0.5638  win_f1_macro=0.5617
fold1 ep 006  tr=0.9410  val_AccPaper=0.5656  val_BalAccMaj=0.5733  win_BalAcc=0.5639  win_f1_macro=0.5604
fold1 ep 007  tr=0.9300  val_AccPaper=0.5693  val_BalAccMaj=0.5748  win_BalAcc=0.5656  win_f1_macro=0.5624
fold1 ep 008  tr=0.9263  val_AccPaper=0.5700  val_BalAccMaj=0.5756  win_BalAcc=0.5669  win_f1_macro=0.5625
fold1 ep 009  tr=0.9199  val_AccPaper=0.5767  val_BalAccMaj=0.5848  win_BalAcc=0.5701  win_f1_macro=0.5693
fold1 ep 010  tr=0.9138  val_AccPaper=0.5674  val_BalAccMaj=0.5744  win_BalAcc=0.5635  win_f1_macro=0.5599
fold1 ep 011  tr=0.9132  val_AccPaper=0.5670  val_BalAccMaj=0.5744  win_BalAcc=0.5627  win_f1_macro=0.5589
fold1 ep 012  tr=0.9052  val_AccPaper=0.5704  val_BalAccMaj=0.5785  win_BalAcc=0.5688  win_f1_macro=0.5671
fold1 ep 013  tr=0.9042  val_AccPaper=0.5604  val_BalAccMaj=0.5641  win_BalAcc=0.5573  win_f1_macro=0.5545
fold1 ep 014  tr=0.8993  val_AccPaper=0.5741  val_BalAccMaj=0.5819  win_BalAcc=0.5668  win_f1_macro=0.5646
fold1 ep 015  tr=0.8969  val_AccPaper=0.5822  val_BalAccMaj=0.5863  win_BalAcc=0.5714  win_f1_macro=0.5686
fold1 ep 016  tr=0.8958  val_AccPaper=0.5663  val_BalAccMaj=0.5719  win_BalAcc=0.5602  win_f1_macro=0.5580
fold1 ep 017  tr=0.8921  val_AccPaper=0.5767  val_BalAccMaj=0.5844  win_BalAcc=0.5735  win_f1_macro=0.5732
fold1 ep 018  tr=0.8929  val_AccPaper=0.5659  val_BalAccMaj=0.5719  win_BalAcc=0.5622  win_f1_macro=0.5586
fold1 ep 019  tr=0.8874  val_AccPaper=0.5711  val_BalAccMaj=0.5804  win_BalAcc=0.5678  win_f1_macro=0.5649
fold1 ep 020  tr=0.8883  val_AccPaper=0.5774  val_BalAccMaj=0.5830  win_BalAcc=0.5690  win_f1_macro=0.5679
fold1 ep 021  tr=0.8840  val_AccPaper=0.5700  val_BalAccMaj=0.5785  win_BalAcc=0.5661  win_f1_macro=0.5643
fold1 ep 022  tr=0.8828  val_AccPaper=0.5596  val_BalAccMaj=0.5656  win_BalAcc=0.5544  win_f1_macro=0.5513
fold1 ep 023  tr=0.8760  val_AccPaper=0.5622  val_BalAccMaj=0.5678  win_BalAcc=0.5589  win_f1_macro=0.5564
fold1 ep 024  tr=0.8735  val_AccPaper=0.5607  val_BalAccMaj=0.5700  win_BalAcc=0.5592  win_f1_macro=0.5573
fold1 ep 025  tr=0.8764  val_AccPaper=0.5652  val_BalAccMaj=0.5715  win_BalAcc=0.5603  win_f1_macro=0.5584
fold1 ep 026  tr=0.8714  val_AccPaper=0.5752  val_BalAccMaj=0.5826  win_BalAcc=0.5663  win_f1_macro=0.5648
fold1 ep 027  tr=0.8694  val_AccPaper=0.5704  val_BalAccMaj=0.5763  win_BalAcc=0.5651  win_f1_macro=0.5642
fold1 ep 028  tr=0.8678  val_AccPaper=0.5704  val_BalAccMaj=0.5759  win_BalAcc=0.5648  win_f1_macro=0.5612
fold1 ep 029  tr=0.8646  val_AccPaper=0.5748  val_BalAccMaj=0.5815  win_BalAcc=0.5699  win_f1_macro=0.5700
fold1 ep 030  tr=0.8664  val_AccPaper=0.5693  val_BalAccMaj=0.5774  win_BalAcc=0.5645  win_f1_macro=0.5634
fold1 ep 031  tr=0.8574  val_AccPaper=0.5607  val_BalAccMaj=0.5685  win_BalAcc=0.5612  win_f1_macro=0.5580
fold1 ep 032  tr=0.8601  val_AccPaper=0.5548  val_BalAccMaj=0.5611  win_BalAcc=0.5530  win_f1_macro=0.5500
fold1 ep 033  tr=0.8565  val_AccPaper=0.5785  val_BalAccMaj=0.5848  win_BalAcc=0.5705  win_f1_macro=0.5691
